point_id,energy_MeV,sigma_inelastic_mb,residual_probability,sigma_mb,sigma_unc_stat_mb,sigma_upper_95_mb,residual_count,n_interactions,cross_section_data_sets,model_counts,physics_list,geant4_version,stopping_condition
26,75.0,256.0,0.1734,44.3904,0.9691973373797516,,1734,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
27,80.0,249.0,0.168,41.832,0.9309270527812585,,1680,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
28,85.0,241.5,0.158,38.157000000000004,0.8808495246635488,,1580,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
29,90.0,234.0,0.1693,39.6162,0.8775390303319848,,1693,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
30,95.0,228.0,0.1578,35.9784,0.8311816849185262,,1578,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
31,100.0,222.0,0.1597,35.4534,0.8132472704190281,,1597,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
32,105.0,220.5,0.1524,33.6042,0.7924950373573326,,1524,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
33,110.0,219.0,0.153,33.507,0.788372624524723,,1530,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
34,115.0,217.5,0.1525,33.168749999999996,0.781923087550016,,1525,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
35,120.0,216.0,0.1505,32.507999999999996,0.7723314014074528,,1505,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
36,125.0,214.5,0.1513,32.453849999999996,0.7686415578914205,,1513,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
37,130.0,213.0,0.1505,32.0565,0.7616045763879048,,1505,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
38,135.0,211.5,0.1395,29.504250000000003,0.7327788279513473,,1395,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
39,140.0,210.0,0.1396,29.316,0.7278002572134747,,1396,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
40,145.0,210.5,0.1391,29.28055,0.7284370368602561,,1391,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
41,150.0,211.0,0.1375,29.012500000000003,0.7266300533111744,,1375,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
