candidate_width_MeV,profile_label,max_paired_yield_change_run,yield_replica_half_width_run,yield_tolerance_run,yield_half_width_change_run,max_paired_R50_change_mm,R50_replica_half_width_mm,R50_tolerance_mm,R50_half_width_change_mm,yield_pass,R50_pass,yield_band_pass,R50_band_pass,pass
0.5,C11,1.4551915228366852e-11,1935.466793668289,193.54667936682893,0.0,1.4210854715202004e-14,0.10860389285778183,0.010860389285778184,0.0,True,True,True,True,True
0.5,O15,2.9103830456733704e-11,3532.1274684296586,353.2127468429659,0.0,1.4210854715202004e-14,0.17452136407921925,0.017452136407921925,0.0,True,True,True,True,True
0.5,N13,3.637978807091713e-12,475.2478665250828,47.52478665250828,0.0,1.4210854715202004e-14,0.5191812496994819,0.05191812496994819,0.0,True,True,True,True,True
0.5,all_production,2.9103830456733704e-11,4030.3539301799174,403.03539301799174,0.0,1.4210854715202004e-14,0.12534531011439354,0.012534531011439354,0.0,True,True,True,True,True
0.5,all_inroom,1.4551915228366852e-11,1747.8215321117314,174.78215321117315,0.0,1.4210854715202004e-14,0.12359640552893894,0.012359640552893895,0.0,True,True,True,True,True
1.0,C11,1.216916828212561,1935.466793668289,193.54667936682893,3.80168785341084e-08,0.0012515349161645872,0.10860389285778183,0.010860389285778184,5.9674487573602164e-15,True,True,True,True,True
1.0,O15,2.567141331266612,3532.1274684296586,353.2127468429659,0.09627055244345684,0.0019048088777253724,0.17452136407921925,0.017452136407921925,4.004584219330365e-05,True,True,True,True,True
1.0,N13,0.5049981167067017,475.2478665250828,47.52478665250828,1.1600469406403136e-05,0.0015878377639353403,0.5191812496994819,0.05191812496994819,3.1954742407691583e-07,True,True,True,True,True
1.0,all_production,2.995838104048744,4030.3539301799174,403.03539301799174,0.0996484188362956,0.0013570738711621289,0.12534531011439354,0.012534531011439354,1.8115338015711746e-05,True,True,True,True,True
1.0,all_inroom,1.211840725140064,1747.8215321117314,174.78215321117315,0.04694445549102966,0.001246872689449674,0.12359640552893894,0.012359640552893895,9.385146340717965e-06,True,True,True,True,True
2.0,C11,32.21504236457986,1935.466793668289,193.54667936682893,0.04131665338354651,0.006905728462896832,0.10860389285778183,0.010860389285778184,0.00031294088206948456,True,True,True,True,True
2.0,O15,8.420948438477353,3532.1274684296586,353.2127468429659,0.09340031579631614,0.006530025490206981,0.17452136407921925,0.017452136407921925,0.000265847583687584,True,True,True,True,True
2.0,N13,37.201463730292744,475.2478665250828,47.52478665250828,1.2153592353051863,0.13392876520055097,0.5191812496994819,0.05191812496994819,0.0012231952854904193,True,False,True,True,False
2.0,all_production,44.12728426232934,4030.3539301799174,403.03539301799174,2.3074488442362053,0.004934104385569071,0.12534531011439354,0.012534531011439354,7.176471271039264e-05,True,True,True,True,True
2.0,all_inroom,25.378630957158748,1747.8215321117314,174.78215321117315,1.154015274165431,0.007410940167645208,0.12359640552893894,0.012359640552893895,0.00010725313903209299,True,True,True,True,True
5.0,C11,56.3561885626259,1935.466793668289,193.54667936682893,0.6171220408941736,0.025319156414212785,0.10860389285778183,0.010860389285778184,0.00013323989041254258,True,False,True,True,False
5.0,O15,66.96837740084447,3532.1274684296586,353.2127468429659,5.500284400157398,0.04565651142245031,0.17452136407921925,0.017452136407921925,0.002488945121341124,True,False,True,True,False
5.0,N13,308.88463882412725,475.2478665250828,47.52478665250828,1.140784745090059,1.1690059709972758,0.5191812496994819,0.05191812496994819,0.0061114400186800255,False,False,True,True,False
5.0,all_production,311.7797115043504,4030.3539301799174,403.03539301799174,9.360707781350357,0.07257065903770865,0.12534531011439354,0.012534531011439354,0.0009967685276504323,True,False,True,True,False
5.0,all_inroom,194.60128282327787,1747.8215321117314,174.78215321117315,1.488707111486292,0.09377846701485737,0.12359640552893894,0.012359640552893895,0.0007034709317758486,False,False,True,True,False
