channel_id,lowest_channel,q_value_MeV,laboratory_threshold_MeV,mass_source,mass_source_url
p_O16_x_O15,"O-16(p,d)O-15",-13.43937556435958,14.292239708361045,AME2020 atomic-mass evaluation,https://amdc.impcas.ac.cn/web/masseval.html
p_O16_x_C11,"O-16(p,d+alpha)C-11",-23.65806626023444,25.16752257650475,AME2020 atomic-mass evaluation,https://amdc.impcas.ac.cn/web/masseval.html
