channel_id,points_in_range,points_used,independent_campaigns_used,campaign_fractional_spread,peak_energy_MeV,peak_sigma_mb,peak_lower_16_mb,peak_upper_84_mb,median_relative_half_width_production,p90_relative_half_width_production,chi2_per_dof
p_C12_x_C11,205,94,7,0.1051709180756477,41.31051752921536,87.28199360845942,83.66339391044758,90.7887271198398,0.0420421669519233,0.0460152229862104,2.511945920393513
p_O16_x_O15,102,94,7,0.2214027581601698,40.10016694490818,76.18814749734136,70.43373613745209,82.56473946281535,0.0813091439309183,0.0847964662221055,4.510347442109773
p_O16_x_C11,78,58,5,0.4190675485932571,46.39398998330551,21.037710085121553,17.994900294664955,24.77835801459572,0.1620293333936703,0.1640591844158067,8.457579551138199
p_N14_x_N13,102,76,7,0.4190675485932571,35.742904841402336,37.1171183832892,32.31430441614702,42.92487640567985,0.1364582208179189,0.139233767184476,4.534491957710463
p_O16_x_N13,604,512,12,0.6487212707001282,11.051752921535892,47.27353714568008,37.38637007185981,56.83924272355816,0.1514331283151689,0.1618120456252303,12.814791007911335
