channel_id,smoothing_lambda,count,min,median,max
p_C12_x_C11,0.03,33,0.1450692660807722,0.2689547147079415,0.4770362662521436
p_C12_x_C11,0.1,39,0.1602129104672847,0.2382122565418206,0.4224152768262369
p_C12_x_C11,0.3,51,0.1472662005719503,0.2565962799472544,0.5051333736330644
p_C12_x_C11,1.0,61,0.1158454902536269,0.2601914950381923,0.4191764037884365
p_C12_x_C11,3.0,96,0.1257909258385833,0.2500558588905162,0.4997766019055663
p_C12_x_C11,10.0,164,0.0910700940461767,0.23209060762261968,0.4764935125316611
p_C12_x_C11,30.0,326,0.0817704893520589,0.1984330058070583,0.426850087940201
p_C12_x_C11,100.0,222,0.0620547602680735,0.18833073147925466,0.4607202040498619
p_C12_x_C11,300.0,8,0.1432997124302907,0.1901919409394942,0.3045061540197205
p_O16_x_O15,300.0,1000,0.0232890688935324,0.11065334030354135,0.2794733891402958
p_O16_x_C11,0.03,8,1.8680899352475728,2.3658625234543544,2.880769316613381
p_O16_x_C11,3.0,1,1.385424339331523,1.385424339331523,1.385424339331523
p_O16_x_C11,10.0,5,0.7891442743210121,0.8603562198575451,1.0067493552055502
p_O16_x_C11,30.0,15,0.356869832369121,0.495323014443157,0.750407225991192
p_O16_x_C11,100.0,28,0.1552619872424976,0.25573747091430543,0.5432201713949201
p_O16_x_C11,300.0,943,0.0233870349449518,0.1387684344257724,0.4680607740001805
p_N14_x_N13,0.3,5,0.3140929784085214,0.7976512744729598,1.134053101242685
p_N14_x_N13,1.0,16,0.4416674653506691,0.6575923219636377,1.050007299295844
p_N14_x_N13,3.0,36,0.3820211486747193,0.630811213188808,0.8755824489463947
p_N14_x_N13,10.0,51,0.2276598468434467,0.4132586079797652,0.6943493722735511
p_N14_x_N13,30.0,21,0.1911285720229039,0.3317873080445904,0.5795885949246097
p_N14_x_N13,100.0,15,0.1013065879642924,0.1941982874040588,0.2873619443079228
p_N14_x_N13,300.0,856,0.0354862706280586,0.1440480979914606,0.3897515632476972
p_O16_x_N13,0.3,11,0.1908549913162173,0.2969002337279334,0.4409740550788944
p_O16_x_N13,1.0,203,0.1285991789167726,0.2296635760242717,0.3325725546019231
p_O16_x_N13,3.0,369,0.0625752201335965,0.1130219889826811,0.1878024419935415
p_O16_x_N13,10.0,177,0.0349487035764441,0.0686497921560078,0.1127097783683152
p_O16_x_N13,30.0,159,0.384082793555032,0.4330010090205415,0.5077131286603402
p_O16_x_N13,100.0,73,1.763593061136546,1.864790289348227,2.020133289788967
p_O16_x_N13,300.0,8,5.241359315326931,5.3634230447696245,5.457127402493924
