# Residual cross-sections stored in JENDL-4.0/HE
# p + O-16

# Production of neutrons
# E_in [eV]   sigma[barns]
1.700000e+07  0.000000e+00
1.800000e+07  0.000000e+00
1.900000e+07  1.165197e-05
2.000000e+07  2.330003e-05
2.200000e+07  3.161997e-04
2.400000e+07  7.531999e-04
2.600000e+07  1.382202e-03
2.800000e+07  2.200002e-03
3.000000e+07  3.161999e-03
3.200000e+07  4.281998e-03
3.400000e+07  5.496016e-03
3.600000e+07  6.751999e-03
3.800000e+07  8.080021e-03
4.000000e+07  9.471981e-03
4.200000e+07  1.086800e-02
4.400000e+07  1.224402e-02
4.600000e+07  1.348600e-02
4.800000e+07  1.466999e-02
5.000000e+07  1.560000e-02
5.500000e+07  1.794842e-02
6.000000e+07  1.930600e-02
6.500000e+07  1.959229e-02
7.000000e+07  1.964201e-02
8.000000e+07  1.648199e-02
9.000000e+07  1.390399e-02
1.000000e+08  1.181601e-02
1.100000e+08  1.069599e-02
1.200000e+08  9.831988e-03
1.300000e+08  9.256006e-03
1.400000e+08  8.769990e-03
1.500000e+08  7.838501e-03
2.000000e+08  8.104775e-03


# Production of He-4
# E_in [eV]   sigma[barns]
5.545800e+06  0.000000e+00
5.545840e+06  0.000000e+00
6.000000e+06  0.000000e+00
7.000000e+06  2.428500e-02
8.000000e+06  1.360499e-01
9.000000e+06  3.791997e-01
1.000000e+07  5.016002e-01
1.100000e+07  5.521497e-01
1.200000e+07  5.615003e-01
1.300000e+07  5.652500e-01
1.400000e+07  5.820698e-01
1.500000e+07  6.796670e-01
1.600000e+07  7.691993e-01
1.700000e+07  7.970023e-01
1.800000e+07  8.245477e-01
1.900000e+07  8.146693e-01
2.000000e+07  8.045085e-01
2.200000e+07  7.497002e-01
2.400000e+07  6.794810e-01
2.600000e+07  6.175920e-01
2.800000e+07  5.645077e-01
3.000000e+07  5.178884e-01
3.200000e+07  4.822614e-01
3.400000e+07  4.464899e-01
3.600000e+07  4.113902e-01
3.800000e+07  3.825598e-01
4.000000e+07  3.600200e-01
4.200000e+07  3.379101e-01
4.400000e+07  3.192902e-01
4.600000e+07  2.997900e-01
4.800000e+07  2.850399e-01
5.000000e+07  2.604401e-01
5.500000e+07  2.421629e-01
6.000000e+07  2.193599e-01
6.500000e+07  1.919428e-01
7.000000e+07  1.838500e-01
8.000000e+07  1.831100e-01
9.000000e+07  1.857800e-01
1.000000e+08  1.763901e-01
1.100000e+08  1.688700e-01
1.200000e+08  1.553799e-01
1.300000e+08  1.419599e-01
1.400000e+08  1.288501e-01
1.500000e+08  1.096500e-01
2.000000e+08  1.069070e-01


# Production of He-6
# E_in [eV]   sigma[barns]
5.545800e+06  0.000000e+00
6.000000e+06  0.000000e+00
7.000000e+06  0.000000e+00
8.000000e+06  0.000000e+00
9.000000e+06  0.000000e+00
1.000000e+07  0.000000e+00
1.100000e+07  0.000000e+00
1.200000e+07  0.000000e+00
1.300000e+07  0.000000e+00
1.400000e+07  0.000000e+00
1.500000e+07  0.000000e+00
1.600000e+07  0.000000e+00
1.800000e+07  0.000000e+00
2.000000e+07  0.000000e+00
2.200000e+07  0.000000e+00
2.400000e+07  0.000000e+00
2.600000e+07  0.000000e+00
2.800000e+07  0.000000e+00
3.000000e+07  0.000000e+00
3.200000e+07  0.000000e+00
3.400000e+07  0.000000e+00
3.600000e+07  0.000000e+00
3.800000e+07  0.000000e+00
4.000000e+07  0.000000e+00
4.200000e+07  0.000000e+00
4.400000e+07  0.000000e+00
4.600000e+07  0.000000e+00
4.800000e+07  0.000000e+00
5.000000e+07  0.000000e+00
5.500000e+07  0.000000e+00
6.000000e+07  0.000000e+00
6.500000e+07  0.000000e+00
7.000000e+07  0.000000e+00
8.000000e+07  0.000000e+00
9.000000e+07  0.000000e+00
1.000000e+08  0.000000e+00
1.100000e+08  0.000000e+00
1.200000e+08  0.000000e+00
1.300000e+08  0.000000e+00
1.400000e+08  0.000000e+00
1.500000e+08  1.987122e-04
2.000000e+08  2.411219e-04


# Production of Li-6
# E_in [eV]   sigma[barns]
5.545800e+06  0.000000e+00
6.000000e+06  0.000000e+00
7.000000e+06  0.000000e+00
8.000000e+06  0.000000e+00
9.000000e+06  0.000000e+00
1.000000e+07  0.000000e+00
1.100000e+07  0.000000e+00
1.200000e+07  0.000000e+00
1.300000e+07  0.000000e+00
1.400000e+07  0.000000e+00
1.500000e+07  0.000000e+00
1.600000e+07  0.000000e+00
1.800000e+07  0.000000e+00
2.000000e+07  0.000000e+00
2.200000e+07  0.000000e+00
2.400000e+07  0.000000e+00
2.600000e+07  0.000000e+00
2.800000e+07  0.000000e+00
3.000000e+07  0.000000e+00
3.200000e+07  0.000000e+00
3.400000e+07  0.000000e+00
3.600000e+07  0.000000e+00
3.800000e+07  0.000000e+00
4.000000e+07  0.000000e+00
4.200000e+07  0.000000e+00
4.400000e+07  0.000000e+00
4.600000e+07  0.000000e+00
4.800000e+07  0.000000e+00
5.000000e+07  0.000000e+00
5.500000e+07  0.000000e+00
6.000000e+07  0.000000e+00
6.500000e+07  0.000000e+00
7.000000e+07  0.000000e+00
8.000000e+07  0.000000e+00
