# Residual cross-sections stored in JENDL-4.0/HE
# p + N-14

# Production of neutrons
# E_in [eV]   sigma[barns]
2.479400e+06  0.000000e+00
3.000000e+06  0.000000e+00
4.000000e+06  0.000000e+00
5.000000e+06  0.000000e+00
5.122490e+06  0.000000e+00
6.000000e+06  0.000000e+00
7.000000e+06  0.000000e+00
8.000000e+06  0.000000e+00
9.000000e+06  0.000000e+00
1.000000e+07  3.165002e-07
1.100000e+07  4.765997e-06
1.200000e+07  3.558999e-05
1.300000e+07  1.066003e-04
1.400000e+07  2.075001e-04
1.500000e+07  3.450001e-04
1.600000e+07  5.948988e-04
1.700000e+07  1.350674e-03
1.800000e+07  2.105000e-03
1.900000e+07  2.831268e-03
2.000000e+07  3.556002e-03
2.200000e+07  4.591998e-03
2.400000e+07  5.551007e-03
2.600000e+07  6.395995e-03
2.800000e+07  7.159003e-03
3.000000e+07  7.827011e-03
3.200000e+07  8.415014e-03
3.400000e+07  8.875996e-03
3.600000e+07  9.230990e-03
3.800000e+07  9.564980e-03
4.000000e+07  9.845002e-03
4.200000e+07  1.006000e-02
4.400000e+07  1.012001e-02
4.600000e+07  1.026999e-02
4.800000e+07  1.037000e-02
5.000000e+07  1.031998e-02
5.500000e+07  1.025999e-02
6.000000e+07  9.846006e-03
6.500000e+07  9.230139e-03
7.000000e+07  8.688008e-03
8.000000e+07  7.663008e-03
9.000000e+07  7.636340e-03
1.000000e+08  7.609693e-03
1.100000e+08  8.173911e-03
1.200000e+08  8.738090e-03
1.300000e+08  9.125788e-03
1.400000e+08  9.513498e-03
1.500000e+08  9.901199e-03
2.000000e+08  1.023951e-02


# Production of He-4
# E_in [eV]   sigma[barns]
2.479400e+06  0.000000e+00
3.000000e+06  0.000000e+00
3.131900e+06  0.000000e+00
4.000000e+06  0.000000e+00
5.000000e+06  0.000000e+00
6.000000e+06  1.650002e-05
7.000000e+06  2.199999e-04
8.000000e+06  7.271984e-04
9.000000e+06  1.477001e-03
1.000000e+07  2.441002e-03
1.100000e+07  8.503787e-03
1.200000e+07  4.008200e-02
1.300000e+07  1.016098e-01
1.400000e+07  1.417897e-01
1.500000e+07  1.644897e-01
1.600000e+07  1.834598e-01
1.700000e+07  1.952900e-01
1.800000e+07  2.069102e-01
1.900000e+07  2.135031e-01
2.000000e+07  2.199802e-01
2.200000e+07  2.198799e-01
2.400000e+07  2.168298e-01
2.600000e+07  2.087101e-01
2.800000e+07  2.022900e-01
3.000000e+07  1.961201e-01
3.200000e+07  1.912201e-01
3.400000e+07  1.850501e-01
3.600000e+07  1.780400e-01
3.800000e+07  1.729400e-01
4.000000e+07  1.681602e-01
4.200000e+07  1.666161e-01
4.400000e+07  1.650721e-01
4.600000e+07  1.635281e-01
4.800000e+07  1.619840e-01
5.000000e+07  1.604400e-01
5.500000e+07  1.666901e-01
6.000000e+07  1.729400e-01
6.500000e+07  1.722852e-01
7.000000e+07  1.716251e-01
8.000000e+07  1.703101e-01
9.000000e+07  1.663700e-01
1.000000e+08  1.624299e-01
1.100000e+08  1.598850e-01
1.200000e+08  1.573401e-01
1.300000e+08  1.565599e-01
1.400000e+08  1.557800e-01
1.500000e+08  1.550000e-01
2.000000e+08  1.520845e-01


# Production of He-6
# E_in [eV]   sigma[barns]
2.479400e+06  0.000000e+00
3.000000e+06  0.000000e+00
4.000000e+06  0.000000e+00
