isotope,n_sampled,n_reference,median_range_mm,median_reference_mm,q90_range_mm,q90_reference_mm
O15,127684,132182,1.9200992284935743,1.9181321667697162,4.154072649928261,4.1404856090374675
C11,77480,58747,0.7611537774608579,0.7513812945641453,1.8534237717236617,1.857517865167676
N13,14104,9618,1.0845034102557545,1.1052188020840137,2.4984322359549216,2.560910090080451
