isotope,sampled_count,native_count,folded_expected,sampled_per_Gy,native_per_Gy,yield_ratio_data_over_g4,sampled_over_folded,R50_data_mm,R50_g4_mm,delta_R50_mm,delta_R50_err_mm,R50_fold_mm
O15,1277565.0,1319984.0,1278551.285412443,89023265.0862421,91979105.20529146,0.9678640044121747,0.9992285914349341,86.19699367088607,87.91693461950696,-1.7199409486208879,0.1674357011367972,86.4801343671361
C11,775109.0,586549.0,774195.9667738787,54011133.66265672,40871898.58290593,1.321473568278183,1.0011793308998056,83.53098290598291,78.94615384615385,4.584829059829062,0.38125834327126523,83.64686927889154
N13,142197.0,95200.0,142216.77501747408,9908569.21210926,6633724.966017579,1.4936659663865546,0.9998609515827395,95.5575221238938,72.20833333333333,23.349188790560476,1.4473277813454477,95.88108138486115
combined,2194871.0,2001733.0,2194964.0272037964,152942967.96100807,139484728.75421497,1.0964853954048817,0.9999576178913898,85.35118483412322,85.30200945626477,0.04917537785844672,0.1780618274240209,85.42477944855675
combined_d120s300,594716.7260784254,570923.7253523208,,41441041.94847362,39783098.43026737,1.0416745699461374,,85.83336564402903,86.63738086029996,-0.8040152162709262,0.16857701105397588,
combined_d120s120,333007.856054004,325480.35266817734,,23204648.409510866,22680117.031965274,1.0231273664419949,,85.94296587965395,87.02027426929904,-1.0773083896450828,0.1628122635309863,
combined_d180s300,459349.4447579434,432948.32449906936,,32008381.09051556,30168698.62631257,1.0609798416229481,,85.72176074004977,86.23406825832286,-0.5123075182730901,0.15993180737612814,
combined_d180s120,252337.92080618578,242943.74721303987,,17583407.196690768,16928802.533876114,1.038668101982094,,85.85327441457136,86.70336880586433,-0.8500943912929699,0.16842308589228117,
combined_d300s300,290551.67913956323,262047.86066541533,,20246217.729269426,18260015.079702325,1.1087733301915477,,85.45127298886206,85.1286804858126,0.32259250304946363,0.1911590779506368,
