profile,R50_reference_mm,yield_reference_per_proton,delta_R50_QGSP_BERT_HP_mm,yield_ratio_QGSP_BERT_HP,delta_R50_QGSP_INCLXX_HP_mm,yield_ratio_QGSP_INCLXX_HP,delta_R50_attenuation_mm,u_transport_mm,delta_R50_statistics_mm
O15,86.48519553069009,0.012786201305066278,0.023508268940375388,1.0048374799046484,0.09241193076721288,0.9999841909446273,0.017040962230510104,0.09241193076721288,-0.005061163553989445
C11,83.65174858089641,0.007742413526695594,0.013696012983231753,1.0043614851423186,0.07586980661668008,0.9997137100545799,0.013128332780695473,0.07586980661668008,-0.004879302004880515
N13,95.8880835492756,0.0014223198408089303,0.09481447966895473,1.006663062211705,0.1375520958278429,1.0015850486376108,0.021461835088757653,0.1375520958278429,-0.007002164414458889
combined,85.42923622632787,0.0219509346725708,0.023392258016912137,1.0047878789939637,0.09404483594136082,0.9999925166382689,0.01677274940752227,0.09404483594136082,-0.0044567777711250756
combined_d120s300,85.97039790203483,0.005949710429449383,0.02366500923679382,1.0048563005836326,0.09557423065857051,1.0000281463112615,0.01677211520585331,0.09557423065857051,-0.004576570536670488
combined_d120s120,86.10405048744657,0.003331828468919532,0.023725810821034088,1.0048557717660034,0.09664048402829906,1.0000208443095713,0.016872012949406212,0.09664048402829906,-0.004703450935565456
combined_d180s300,85.83544233655554,0.004595005668855099,0.023737578466509035,1.004856322817799,0.0946497055591351,1.0000350710636825,0.01666892143813925,0.0946497055591351,-0.004446017810181502
combined_d180s120,85.99394981571623,0.0025244993455718493,0.023688708830164273,1.0048570227134108,0.09577484506510814,1.000027624033659,0.016795546272547313,0.09577484506510814,-0.0045982388758005754
combined_d300s300,85.51304395327053,0.002905796135003343,0.024714746908955476,1.0048521164475364,0.09332466659914473,1.0000477838711632,0.017027362336477836,0.09332466659914473,-0.0037645299832149703
