point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
100,42.02,0.0,0.0,71.74,,,1.79,1.79
101,41.65,0.0,0.0,72.09,,,1.79,1.79
102,41.3,0.0,0.0,72.33000000000001,,,1.8,1.8
103,40.96,0.0,0.0,72.49,,,1.8,1.8
104,40.61,0.0,0.0,72.63,,,1.8,1.8
105,40.26,0.0,0.0,72.8,,,1.81,1.81
106,39.89,0.0,0.0,73.08000000000001,,,1.81,1.81
107,39.51,0.0,0.0,73.44000000000001,,,1.82,1.82
108,39.15,0.0,0.0,73.82,,,1.83,1.83
109,38.78,0.0,0.0,74.21,,,1.84,1.84
110,38.4,0.0,0.0,74.59,,,1.85,1.85
111,38.04,0.0,0.0,74.94000000000001,,,1.86,1.86
112,37.67,0.0,0.0,75.37,,,1.8699999999999999,1.8699999999999999
113,37.28,0.0,0.0,75.84,,,1.88,1.88
114,36.9,0.0,0.0,76.31,,,1.89,1.89
115,36.52,0.0,0.0,76.67999999999999,,,1.9,1.9
116,36.11,0.0,0.0,76.8,,,1.9,1.9
117,35.71,0.0,0.0,76.74000000000001,,,1.9,1.9
118,35.31,0.0,0.0,76.57,,,1.89,1.89
119,34.9,0.0,0.0,76.42999999999999,,,1.89,1.89
120,34.52,0.0,0.0,76.33,,,1.89,1.89
121,34.12,0.0,0.0,76.28999999999999,,,1.89,1.89
122,33.69,0.0,0.0,76.27000000000001,,,1.89,1.89
123,33.28,0.0,0.0,76.25,,,1.89,1.89
124,32.87,0.0,0.0,76.13000000000001,,,1.88,1.88
125,32.41,0.0,0.0,75.94,,,1.88,1.88
126,31.98,0.0,0.0,75.53999999999999,,,1.8699999999999999,1.8699999999999999
127,31.58,0.0,0.0,74.81,,,1.85,1.85
128,31.13,0.0,0.0,73.91,,,1.83,1.83
129,30.67,0.0,0.0,72.81,,,1.81,1.81
130,30.23,0.0,0.0,71.5,,,1.7799999999999998,1.7799999999999998
131,29.77,0.0,0.0,69.97,,,1.74,1.74
132,29.3,0.0,0.0,68.2,,,1.7,1.7
133,28.86,0.0,0.0,66.0,,,1.65,1.65
134,28.39,0.0,0.0,63.88000000000001,,,1.6199999999999999,1.6199999999999999
135,27.9,0.0,0.0,61.629999999999995,,,1.57,1.57
136,27.41,0.0,0.0,58.86,,,1.5,1.5
137,26.89,0.0,0.0,56.0,,,1.4400000000000002,1.4400000000000002
138,26.39,0.0,0.0,52.970000000000006,,,1.38,1.38
139,25.9,0.0,0.0,49.79,,,1.3,1.3
140,25.39,0.0,0.0,46.28,,,1.21,1.21
141,24.86,0.0,0.0,42.45,,,1.1199999999999999,1.1199999999999999
142,24.3,0.0,0.0,38.510000000000005,,,1.03,1.03
143,23.74,0.0,0.0,34.72,,,0.95,0.95
144,23.19,0.0,0.0,30.95,,,0.86,0.86
