point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,16.4,0.15,0.15,9.799999999999999,,,0.8,0.8
1,15.8,0.15,0.15,19.3,,,1.5,1.5
2,15.2,0.15,0.15,34.0,,,3.0,3.0
3,14.5,0.15,0.15,42.0,,,3.0,3.0
4,13.8,0.2,0.2,48.0,,,4.0,4.0
5,13.1,0.2,0.2,27.900000000000002,,,2.2,2.2
6,12.3,0.2,0.2,35.0,,,3.0,3.0
7,11.5,0.2,0.2,40.0,,,3.0,3.0
8,10.7,0.2,0.2,59.0,,,5.0,5.0
9,9.8,0.25,0.25,24.299999999999997,,,1.9,1.9
10,8.8,0.25,0.25,13.0,,,1.0,1.0
11,7.7,0.3,0.3,36.0,,,3.0,3.0
12,6.5,0.35,0.35,0.63,,,0.06999999999999999,0.06999999999999999
