point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,8.5,0.0,0.0,0.4,,,0.0,0.0
1,9.8,0.0,0.0,0.4,,,0.0,0.0
2,17.6,0.0,0.0,15.0,,,0.0,0.0
3,17.6,0.0,0.0,10.7,,,0.0,0.0
4,19.5,0.0,0.0,8.8,,,0.0,0.0
5,23.2,0.0,0.0,41.6,,,0.0,0.0
6,23.2,0.0,0.0,46.199999999999996,,,0.0,0.0
7,24.3,0.0,0.0,53.400000000000006,,,0.0,0.0
8,27.5,0.0,0.0,72.1,,,0.0,0.0
9,27.5,0.0,0.0,70.3,,,0.0,0.0
10,29.1,0.0,0.0,84.8,,,0.0,0.0
11,31.4,0.0,0.0,87.8,,,0.0,0.0
12,31.5,0.0,0.0,84.6,,,0.0,0.0
13,36.6,0.0,0.0,94.7,,,0.0,0.0
14,39.4,0.0,0.0,98.19999999999999,,,0.0,0.0
15,39.4,0.0,0.0,99.6,,,0.0,0.0
16,42.2,0.0,0.0,94.89999999999999,,,0.0,0.0
17,46.1,0.0,0.0,100.0,,,0.0,0.0
18,46.7,0.0,0.0,101.0,,,0.0,0.0
19,48.2,0.0,0.0,94.7,,,0.0,0.0
20,53.4,0.0,0.0,94.8,,,0.0,0.0
21,53.6,0.0,0.0,97.8,,,0.0,0.0
22,57.0,0.0,0.0,91.2,,,0.0,0.0
23,60.0,0.0,0.0,91.2,,,0.0,0.0
24,61.6,0.0,0.0,91.80000000000001,,,0.0,0.0
25,67.5,0.0,0.0,86.6,,,0.0,0.0
26,67.5,0.0,0.0,87.6,,,0.0,0.0
27,69.8,0.0,0.0,85.9,,,0.0,0.0
28,74.1,0.0,0.0,82.69999999999999,,,0.0,0.0
29,74.1,0.0,0.0,83.8,,,0.0,0.0
30,79.0,0.0,0.0,80.3,,,0.0,0.0
31,81.4,0.0,0.0,78.60000000000001,,,0.0,0.0
32,81.8,0.0,0.0,79.8,,,0.0,0.0
33,85.6,0.0,0.0,76.39999999999999,,,0.0,0.0
34,88.3,0.0,0.0,75.0,,,0.0,0.0
35,88.3,0.0,0.0,76.2,,,0.0,0.0
36,92.2,0.0,0.0,73.2,,,0.0,0.0
37,94.9,0.0,0.0,71.8,,,0.0,0.0
38,95.0,0.0,0.0,72.7,,,0.0,0.0
39,101.0,0.0,0.0,68.6,,,0.0,0.0
40,101.0,0.0,0.0,70.2,,,0.0,0.0
41,104.0,0.0,0.0,69.0,,,0.0,0.0
