target,target_z,target_a,energy_MeV,areal_mg_cm2,density_g_cm3,thickness_mm,nuclear_areal_density_cm2,n_protons,n_inelastic,n_c11,n_n13,n_o15,mean_continuous_loss_MeV,mean_inelastic_energy_MeV,mean_c11_energy_MeV,mean_n13_energy_MeV,mean_o15_energy_MeV,physics_list,geant4_version,seed,threads,selected
C12,6,12,8,20,2,0.1,1.00369012667e+21,20000,3,0,0,0,1.04227476802,8,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1166803,8,0
C12,6,12,8,10,2,0.05,5.01845063333e+20,20000,0,0,0,0,0.506741960689,0,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1166804,8,0
C12,6,12,8,5,2,0.025,2.50922531667e+20,20000,0,0,0,0,0.249968424004,0,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1166805,8,1
C12,6,12,9,80,2,0.4,4.01476050667e+21,20000,16,0,0,0,4.55617360406,8.05151181386,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1166900,8,0
C12,6,12,9,60,2,0.3,3.01107038e+21,20000,4,0,0,0,3.1504630886,8.62239768351,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1166901,8,0
C12,6,12,9,40,2,0.2,2.00738025333e+21,20000,5,0,0,0,1.9736321703,8.45071386135,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1166902,8,0
C12,6,12,9,20,2,0.1,1.00369012667e+21,20000,4,0,0,0,0.936685152491,9,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1166903,8,0
C12,6,12,9,10,2,0.05,5.01845063333e+20,20000,0,0,0,0,0.458073092668,0,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1166904,8,1
C12,6,12,10,80,2,0.4,4.01476050667e+21,20000,9,0,0,0,3.94715727067,8.96513382927,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167000,8,0
C12,6,12,10,60,2,0.3,3.01107038e+21,20000,11,0,0,0,2.79838685041,9.62755468844,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167001,8,0
C12,6,12,10,40,2,0.2,2.00738025333e+21,20000,5,0,0,0,1.77736942554,9.72441543267,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167002,8,0
C12,6,12,10,20,2,0.1,1.00369012667e+21,20000,6,0,0,0,0.853627424502,10,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167003,8,0
C12,6,12,10,10,2,0.05,5.01845063333e+20,20000,1,0,0,0,0.418818285398,10,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167004,8,1
C12,6,12,11,80,2,0.4,4.01476050667e+21,20000,10,0,0,0,3.51930321353,9.78302668626,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167100,8,0
C12,6,12,11,60,2,0.3,3.01107038e+21,20000,16,0,0,0,2.5310522724,10.3235181107,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167101,8,0
C12,6,12,11,40,2,0.2,2.00738025333e+21,20000,9,0,0,0,1.62325651561,10.8541681749,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167102,8,0
C12,6,12,11,20,2,0.1,1.00369012667e+21,20000,6,0,0,0,0.784677788734,11,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167103,8,0
C12,6,12,11,10,2,0.05,5.01845063333e+20,20000,3,0,0,0,0.386675587966,11,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167104,8,1
C12,6,12,12,80,2,0.4,4.01476050667e+21,20000,18,0,0,0,3.1958737545,11.3990626536,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167200,8,0
C12,6,12,12,60,2,0.3,3.01107038e+21,20000,19,0,0,0,2.31394690048,11.3154834763,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167201,8,0
C12,6,12,12,40,2,0.2,2.00738025333e+21,20000,9,0,0,0,1.4976399166,12,0,0,0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,1167202,8,0
