target,target_z,target_a,energy_MeV,areal_mg_cm2,density_g_cm3,thickness_mm,nuclear_areal_density_cm2,n_protons,n_inelastic,n_c11,n_n13,n_o15,mean_continuous_loss_MeV,mean_inelastic_energy_MeV,mean_c11_energy_MeV,mean_n13_energy_MeV,mean_o15_energy_MeV,physics_list,geant4_version,seed,threads,batch_count,stopping_condition
C12,6,12,60,40,2,0.2,2.00738025333e+21,100000,75,9,0,0,0.385262258164,60.0,60.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3720000,8,1,proton_cap
C12,6,12,65,20,2,0.1,1.00369012667e+21,100000,37,4,0,0,0.180866072459,65.0,65.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3725000,8,1,proton_cap
C12,6,12,70,40,2,0.2,2.00738025333e+21,100000,64,14,0,0,0.341471053535,70.0,70.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3730000,8,1,proton_cap
C12,6,12,75,60,2,0.3,3.01107038e+21,100000,77,12,0,0,0.485797875102,75.0,75.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3735000,8,1,proton_cap
C12,6,12,80,60,2,0.3,3.01107038e+21,100000,85,19,0,0,0.462047013262,80.0,80.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3740000,8,1,proton_cap
C12,6,12,85,40,2,0.2,2.00738025333e+21,100000,61,11,0,0,0.293980587783,85.0,85.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3745000,8,1,proton_cap
C12,6,12,90,60,2,0.3,3.01107038e+21,100000,79,21,0,0,0.42241895429100007,89.993834461,90.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3750000,8,1,proton_cap
C12,6,12,95,60,2,0.3,3.01107038e+21,100000,63,12,0,0,0.405611518418,93.8318445494,95.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3755000,8,1,proton_cap
C12,6,12,100,60,2,0.3,3.01107038e+21,100000,73,15,0,0,0.390406704991,100.0,100.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3760000,8,1,proton_cap
C12,6,12,105,60,2,0.3,3.01107038e+21,100000,84,8,0,0,0.376374475999,105.0,105.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3765000,8,1,proton_cap
C12,6,12,110,80,2,0.4,4.01476050667e+21,100000,97,9,0,0,0.485362746911,110.0,110.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3770000,8,1,proton_cap
C12,6,12,115,60,2,0.3,3.01107038e+21,100000,56,11,0,0,0.35197710186500003,115.0,115.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3775000,8,1,proton_cap
C12,6,12,120,60,2,0.3,3.01107038e+21,100000,74,10,0,0,0.341112128726,120.0,120.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3780000,8,1,proton_cap
N14,7,14,5,5,0.81,0.0617283950617,2.15076455714e+20,100000,0,0,0,0,0.359062751243,0.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3795000,8,1,proton_cap
N14,7,14,5.5,5,0.81,0.0617283950617,2.15076455714e+20,100000,1,0,0,0,0.332306657826,5.5,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3795500,8,1,proton_cap
N14,7,14,6,5,0.81,0.0617283950617,2.15076455714e+20,100000,1,1,0,0,0.309659131855,6.0,6.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3796000,8,1,proton_cap
N14,7,14,7,5,0.81,0.0617283950617,2.15076455714e+20,100000,2,2,0,0,0.27324167621,7.0,7.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3797000,8,1,proton_cap
N14,7,14,8,10,0.81,0.123456790123,4.30152911429e+20,100000,4,2,0,0,0.497146669448,8.0,8.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3798000,8,1,proton_cap
N14,7,14,9,10,0.81,0.123456790123,4.30152911429e+20,100000,7,3,0,0,0.44960207239000005,9.0,9.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3799000,8,1,proton_cap
N14,7,14,10,10,0.81,0.123456790123,4.30152911429e+20,100000,12,6,0,0,0.41225758692,10.0,10.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3800000,8,1,proton_cap
N14,7,14,11,10,0.81,0.123456790123,4.30152911429e+20,100000,14,9,1,0,0.38091902846,11.0,11.0,11.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3801000,8,1,proton_cap
N14,7,14,12,10,0.81,0.123456790123,4.30152911429e+20,100000,16,7,0,0,0.354924289384,12.0,12.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3802000,8,1,proton_cap
N14,7,14,14,10,0.81,0.123456790123,4.30152911429e+20,100000,16,2,0,0,0.312522861025,14.0,14.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3804000,8,1,proton_cap
N14,7,14,16,10,0.81,0.123456790123,4.30152911429e+20,100000,19,4,1,0,0.280215125477,16.0,16.0,16.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3806000,8,1,proton_cap
N14,7,14,18,10,0.81,0.123456790123,4.30152911429e+20,100000,17,5,0,0,0.25380946018,18.0,18.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3808000,8,1,proton_cap
N14,7,14,20,20,0.81,0.246913580247,8.60305822857e+20,100000,41,7,0,0,0.468755723005,19.9581278526,19.7547488509,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3810000,8,1,proton_cap
N14,7,14,22,20,0.81,0.246913580247,8.60305822857e+20,100000,43,7,1,0,0.43295197706099997,22.0,22.0,22.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3812000,8,1,proton_cap
N14,7,14,24,20,0.81,0.246913580247,8.60305822857e+20,100000,30,7,1,0,0.402701393119,24.0,24.0,24.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3814000,8,1,proton_cap
N14,7,14,26,20,0.81,0.246913580247,8.60305822857e+20,100000,48,5,0,0,0.37687691002,26.0,26.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3816000,8,1,proton_cap
N14,7,14,28,20,0.81,0.246913580247,8.60305822857e+20,100000,36,4,2,0,0.354587068607,28.0,28.0,28.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3818000,8,1,proton_cap
N14,7,14,30,20,0.81,0.246913580247,8.60305822857e+20,100000,41,8,0,0,0.335205603991,30.0,30.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3820000,8,1,proton_cap
N14,7,14,35,20,0.81,0.246913580247,8.60305822857e+20,100000,31,5,1,0,0.29503566203,35.0,35.0,35.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3825000,8,1,proton_cap
N14,7,14,40,20,0.81,0.246913580247,8.60305822857e+20,100000,33,8,1,0,0.26509273842,40.0,40.0,40.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3830000,8,1,proton_cap
