16O(p,α)13N      							
							
	Pade	Fit		Physical	Physical	1 h		Saturation
Energy	Fit	Uncert.	Energy	Yield		Yield		irradiation	Yield
MeV	mb	mb	MeV	MBq/uAh		mCi/uAh		MBq/uA		MBq/uA
13.5	15.7	1.0	13.5	4.21E+03	1.14E+02	9.92E+02	1.01E+03
13.6	16.9	1.1	13.6	4.26E+03	1.15E+02	1.00E+03	1.02E+03
13.7	19.0	1.2	13.7	4.32E+03	1.17E+02	1.02E+03	1.03E+03
13.8	22.0	1.4	13.8	4.39E+03	1.19E+02	1.04E+03	1.05E+03
13.9	25.7	1.6	13.9	4.47E+03	1.21E+02	1.06E+03	1.07E+03
14.0	29.8	2.4	14.0	4.57E+03	1.24E+02	1.08E+03	1.10E+03
14.1	33.7	2.7	14.1	4.68E+03	1.27E+02	1.10E+03	1.12E+03
14.2	36.7	2.9	14.2	4.80E+03	1.30E+02	1.13E+03	1.15E+03
14.3	37.8	3.0	14.3	4.93E+03	1.33E+02	1.16E+03	1.18E+03
14.4	36.8	2.9	14.4	5.05E+03	1.37E+02	1.19E+03	1.21E+03
14.5	34.1	2.7	14.5	5.17E+03	1.40E+02	1.22E+03	1.24E+03
14.6	30.9	2.5	14.6	5.27E+03	1.43E+02	1.24E+03	1.26E+03
14.7	28.1	2.2	14.7	5.37E+03	1.45E+02	1.27E+03	1.29E+03
14.8	26.0	2.1	14.8	5.46E+03	1.48E+02	1.29E+03	1.31E+03
14.9	24.9	2.0	14.9	5.55E+03	1.50E+02	1.31E+03	1.33E+03
15.0	24.6	1.9	15.0	5.63E+03	1.52E+02	1.33E+03	1.35E+03
15.1	24.7	1.9	15.1	5.72E+03	1.55E+02	1.35E+03	1.37E+03
15.2	24.9	1.9	15.2	5.80E+03	1.57E+02	1.37E+03	1.39E+03
15.3	24.8	1.9	15.3	5.89E+03	1.59E+02	1.39E+03	1.41E+03
15.4	24.2	1.8	15.4	5.98E+03	1.62E+02	1.41E+03	1.43E+03
15.5	22.9	1.7	15.5	6.06E+03	1.64E+02	1.43E+03	1.45E+03
15.6	21.0	1.6	15.6	6.13E+03	1.66E+02	1.45E+03	1.47E+03
15.7	18.7	1.4	15.7	6.20E+03	1.67E+02	1.46E+03	1.48E+03
15.8	16.3	1.2	15.8	6.26E+03	1.69E+02	1.48E+03	1.50E+03
15.9	13.9	1.1	15.9	6.31E+03	1.70E+02	1.49E+03	1.51E+03
16.0	11.7	0.9	16.0	6.35E+03	1.72E+02	1.50E+03	1.52E+03
16.1	9.8	0.8	16.1	6.38E+03	1.72E+02	1.51E+03	1.53E+03
16.2	8.2	0.6	16.2	6.41E+03	1.73E+02	1.51E+03	1.54E+03
16.3	6.9	0.6	16.3	6.44E+03	1.74E+02	1.52E+03	1.54E+03
16.4	6.1	0.5	16.4	6.46E+03	1.75E+02	1.52E+03	1.55E+03
16.5	5.6	0.4	16.5	6.48E+03	1.75E+02	1.53E+03	1.55E+03
16.6	5.5	0.4	16.6	6.50E+03	1.76E+02	1.53E+03	1.56E+03
16.7	5.9	0.5	16.7	6.52E+03	1.76E+02	1.54E+03	1.56E+03
16.8	6.8	0.5	16.8	6.55E+03	1.77E+02	1.54E+03	1.57E+03
16.9	8.4	0.7	16.9	6.58E+03	1.78E+02	1.55E+03	1.58E+03
17.0	10.5	0.7	17.0	6.62E+03	1.79E+02	1.56E+03	1.59E+03
17.1	13.2	0.8	17.1	6.67E+03	1.80E+02	1.57E+03	1.60E+03
17.2	15.9	1.0	17.2	6.73E+03	1.82E+02	1.59E+03	1.61E+03
17.3	18.1	1.1	17.3	6.80E+03	1.84E+02	1.60E+03	1.63E+03
17.4	19.1	1.2	17.4	6.87E+03	1.86E+02	1.62E+03	1.65E+03
17.5	18.8	1.2	17.5	6.95E+03	1.88E+02	1.64E+03	1.66E+03
17.6	17.4	1.1	17.6	7.02E+03	1.90E+02	1.66E+03	1.68E+03
17.7	15.4	1.0	17.7	7.08E+03	1.91E+02	1.67E+03	1.70E+03
17.8	13.3	0.8	17.8	7.13E+03	1.93E+02	1.68E+03	1.71E+03
17.9	11.3	0.7	17.9	7.17E+03	1.94E+02	1.69E+03	1.72E+03
18.0	9.7	0.9	18.0	7.21E+03	1.95E+02	1.70E+03	1.73E+03
18.1	8.2	0.8	18.1	7.25E+03	1.96E+02	1.71E+03	1.74E+03
18.2	6.9	0.6	18.2	7.27E+03	1.97E+02	1.72E+03	1.74E+03
18.3	5.8	0.5	18.3	7.30E+03	1.97E+02	1.72E+03	1.75E+03
18.4	4.8	0.4	18.4	7.32E+03	1.98E+02	1.73E+03	1.75E+03
18.5	3.9	0.4	18.5	7.33E+03	1.98E+02	1.73E+03	1.76E+03
