bin_left,bin_right,count
0.03548627062805869,0.06295044139342434,16
0.06295044139342434,0.09041461215879001,101
0.09041461215879001,0.11787878292415567,162
0.11787878292415567,0.14534295368952133,160
0.14534295368952133,0.172807124454887,166
0.172807124454887,0.20027129522025267,112
0.20027129522025267,0.22773546598561833,69
0.22773546598561833,0.255199636750984,51
0.255199636750984,0.2826638075163497,27
0.2826638075163497,0.31012797828171534,13
0.31012797828171534,0.337592149047081,17
0.337592149047081,0.36505631981244663,6
0.36505631981244663,0.3925204905778123,11
0.3925204905778123,0.41998466134317797,8
0.41998466134317797,0.44744883210854364,8
0.44744883210854364,0.4749130028739093,8
0.4749130028739093,0.5023771736392749,5
0.5023771736392749,0.5298413444046406,4
0.5298413444046406,0.5573055151700063,6
0.5573055151700063,0.5847696859353719,7
0.5847696859353719,0.6122338567007376,6
0.6122338567007376,0.6396980274661033,5
0.6396980274661033,0.6671621982314689,5
0.6671621982314689,0.6946263689968345,3
0.6946263689968345,0.7220905397622002,2
0.7220905397622002,0.7495547105275658,1
0.7495547105275658,0.7770188812929315,4
0.7770188812929315,0.8044830520582972,5
0.8044830520582972,0.8319472228236628,4
0.8319472228236628,0.8594113935890285,3
0.8594113935890285,0.8868755643543942,1
0.8868755643543942,0.9143397351197599,0
0.9143397351197599,0.9418039058851255,1
0.9418039058851255,0.9692680766504912,0
0.9692680766504912,0.9967322474158569,0
0.9967322474158569,1.0241964181812226,0
1.0241964181812226,1.0516605889465882,2
1.0516605889465882,1.079124759711954,0
1.079124759711954,1.1065889304773195,0
1.1065889304773195,1.1340531012426853,1
