channel_id,target,residual,threshold_MeV,energy_MeV,sigma_mb
p_C12_x_C11,C12,C11,17.9,24.84974958263773,25.527116530966083
p_C12_x_C11,C12,C11,17.9,25.091819699499165,27.09552758660332
p_C12_x_C11,C12,C11,17.9,25.3338898163606,28.723502983360397
p_C12_x_C11,C12,C11,17.9,25.57595993322204,30.403600056622793
p_C12_x_C11,C12,C11,17.9,25.818030050083472,32.135824877370595
p_C12_x_C11,C12,C11,17.9,26.06010016694491,33.89030475745442
p_C12_x_C11,C12,C11,17.9,26.302170283806344,35.6595650577527
p_C12_x_C11,C12,C11,17.9,26.54424040066778,37.448303628056735
p_C12_x_C11,C12,C11,17.9,26.786310517529216,39.235416611248624
p_C12_x_C11,C12,C11,17.9,27.02838063439065,41.01830775301296
p_C12_x_C11,C12,C11,17.9,27.27045075125209,42.777841357287784
p_C12_x_C11,C12,C11,17.9,27.512520868113523,44.54726475558034
p_C12_x_C11,C12,C11,17.9,27.754590984974957,46.32846744680336
p_C12_x_C11,C12,C11,17.9,27.996661101836395,48.11023490009662
p_C12_x_C11,C12,C11,17.9,28.23873121869783,49.90650950722015
p_C12_x_C11,C12,C11,17.9,28.480801335559267,51.683985333751224
p_C12_x_C11,C12,C11,17.9,28.7228714524207,53.44304862066632
p_C12_x_C11,C12,C11,17.9,28.964941569282136,55.186797793086015
p_C12_x_C11,C12,C11,17.9,29.207011686143577,56.90155006298768
p_C12_x_C11,C12,C11,17.9,29.449081803005008,58.60546932672435
p_C12_x_C11,C12,C11,17.9,29.69115191986645,60.271360553055025
p_C12_x_C11,C12,C11,17.9,29.93322203672788,61.86453617133512
p_C12_x_C11,C12,C11,17.9,30.17529215358931,63.4000312272717
p_C12_x_C11,C12,C11,17.9,30.417362270450752,64.89999498346415
p_C12_x_C11,C12,C11,17.9,30.659432387312187,66.30594212137102
p_C12_x_C11,C12,C11,17.9,30.901502504173624,67.65516493453615
p_C12_x_C11,C12,C11,17.9,31.14357262103506,68.94737022363287
p_C12_x_C11,C12,C11,17.9,31.385642737896493,70.18229495237657
p_C12_x_C11,C12,C11,17.9,31.62771285475793,71.34367002331365
p_C12_x_C11,C12,C11,17.9,31.869782971619365,72.4535430712368
p_C12_x_C11,C12,C11,17.9,32.1118530884808,73.49193432265238
p_C12_x_C11,C12,C11,17.9,32.35392320534224,74.47545696814679
p_C12_x_C11,C12,C11,17.9,32.59599332220367,75.38710729834759
p_C12_x_C11,C12,C11,17.9,32.83806343906511,76.2363024614516
p_C12_x_C11,C12,C11,17.9,33.080133555926544,77.04120712784686
p_C12_x_C11,C12,C11,17.9,33.32220367278798,77.79646275635994
p_C12_x_C11,C12,C11,17.9,33.56427378964942,78.51424077675202
p_C12_x_C11,C12,C11,17.9,33.80634390651085,79.1682077768426
p_C12_x_C11,C12,C11,17.9,34.04841402337229,79.78756575804184
p_C12_x_C11,C12,C11,17.9,34.29048414023372,80.37187749534297
p_C12_x_C11,C12,C11,17.9,34.53255425709516,80.91245554611697
p_C12_x_C11,C12,C11,17.9,34.7746243739566,81.44378954721185
p_C12_x_C11,C12,C11,17.9,35.016694490818026,81.93799845925778
p_C12_x_C11,C12,C11,17.9,35.25876460767947,82.4159005389162
p_C12_x_C11,C12,C11,17.9,35.5008347245409,82.87817121333867
p_C12_x_C11,C12,C11,17.9,35.742904841402336,83.32201225753077
p_C12_x_C11,C12,C11,17.9,35.98497495826378,83.75265563168266
p_C12_x_C11,C12,C11,17.9,36.2270450751252,84.1683161685558
p_C12_x_C11,C12,C11,17.9,36.469115191986646,84.54410323687884
p_C12_x_C11,C12,C11,17.9,36.71118530884808,84.8989802396436
p_C12_x_C11,C12,C11,17.9,36.953255425709514,85.23153734870644
p_C12_x_C11,C12,C11,17.9,37.19532554257095,85.5752152778371
p_C12_x_C11,C12,C11,17.9,37.43739565943239,85.88238680884287
p_C12_x_C11,C12,C11,17.9,37.679465776293824,86.18021996272651
p_C12_x_C11,C12,C11,17.9,37.92153589315526,86.45294460568874
p_C12_x_C11,C12,C11,17.9,38.16360601001669,86.70710427871205
p_C12_x_C11,C12,C11,17.9,38.40567612687813,86.92967980816312
p_C12_x_C11,C12,C11,17.9,38.64774624373957,87.12264319325402
p_C12_x_C11,C12,C11,17.9,38.889816360601,87.30761392259052
p_C12_x_C11,C12,C11,17.9,39.13188647746244,87.47178114547759
p_C12_x_C11,C12,C11,17.9,39.37395659432387,87.59250943189072
p_C12_x_C11,C12,C11,17.9,39.616026711185306,87.70816373894289
