representative_rank,distance_quantile,replica_id,distance_D,energy_MeV,sigma_mb
0,0.05,373,0.06076866023804316,5.0,0.0
0,0.05,373,0.06076866023804316,5.242070116861436,0.0
0,0.05,373,0.06076866023804316,5.484140233722871,0.0
0,0.05,373,0.06076866023804316,5.726210350584307,0.0
0,0.05,373,0.06076866023804316,5.968280467445743,0.0
0,0.05,373,0.06076866023804316,6.210350584307179,0.0
0,0.05,373,0.06076866023804316,6.452420701168615,0.0
0,0.05,373,0.06076866023804316,6.69449081803005,0.0
0,0.05,373,0.06076866023804316,6.936560934891486,0.0
0,0.05,373,0.06076866023804316,7.178631051752921,0.0
0,0.05,373,0.06076866023804316,7.420701168614357,0.0
0,0.05,373,0.06076866023804316,7.6627712854757934,0.0
0,0.05,373,0.06076866023804316,7.904841402337229,0.0
0,0.05,373,0.06076866023804316,8.146911519198664,0.0
0,0.05,373,0.06076866023804316,8.3889816360601,0.0
0,0.05,373,0.06076866023804316,8.631051752921536,0.0
0,0.05,373,0.06076866023804316,8.873121869782972,0.0
0,0.05,373,0.06076866023804316,9.115191986644408,0.0
0,0.05,373,0.06076866023804316,9.357262103505843,0.0
0,0.05,373,0.06076866023804316,9.599332220367279,0.0
0,0.05,373,0.06076866023804316,9.841402337228715,0.0
0,0.05,373,0.06076866023804316,10.083472454090149,0.0
0,0.05,373,0.06076866023804316,10.325542570951587,0.0
0,0.05,373,0.06076866023804316,10.567612687813021,0.0
0,0.05,373,0.06076866023804316,10.809682804674457,0.0
0,0.05,373,0.06076866023804316,11.051752921535893,0.0
0,0.05,373,0.06076866023804316,11.293823038397328,0.0
0,0.05,373,0.06076866023804316,11.535893155258766,0.0
0,0.05,373,0.06076866023804316,11.7779632721202,0.0
0,0.05,373,0.06076866023804316,12.020033388981636,0.0
0,0.05,373,0.06076866023804316,12.262103505843072,0.0
0,0.05,373,0.06076866023804316,12.504173622704506,0.0
0,0.05,373,0.06076866023804316,12.746243739565944,0.0
0,0.05,373,0.06076866023804316,12.988313856427379,0.0
0,0.05,373,0.06076866023804316,13.230383973288815,0.0
0,0.05,373,0.06076866023804316,13.47245409015025,0.0
0,0.05,373,0.06076866023804316,13.714524207011687,0.0
0,0.05,373,0.06076866023804316,13.956594323873121,0.0
0,0.05,373,0.06076866023804316,14.198664440734557,0.0
0,0.05,373,0.06076866023804316,14.440734557595993,0.0
0,0.05,373,0.06076866023804316,14.68280467445743,0.0
0,0.05,373,0.06076866023804316,14.924874791318866,0.0
0,0.05,373,0.06076866023804316,15.1669449081803,0.0
0,0.05,373,0.06076866023804316,15.409015025041736,0.0
0,0.05,373,0.06076866023804316,15.651085141903172,0.0
0,0.05,373,0.06076866023804316,15.893155258764608,0.0
0,0.05,373,0.06076866023804316,16.135225375626042,0.0
0,0.05,373,0.06076866023804316,16.377295492487477,0.0
0,0.05,373,0.06076866023804316,16.619365609348915,0.0
0,0.05,373,0.06076866023804316,16.861435726210352,0.0
0,0.05,373,0.06076866023804316,17.103505843071787,0.0
0,0.05,373,0.06076866023804316,17.34557595993322,0.0
0,0.05,373,0.06076866023804316,17.587646076794655,0.0
0,0.05,373,0.06076866023804316,17.829716193656093,0.0
0,0.05,373,0.06076866023804316,18.07178631051753,0.0
0,0.05,373,0.06076866023804316,18.313856427378965,0.0
0,0.05,373,0.06076866023804316,18.5559265442404,0.0
0,0.05,373,0.06076866023804316,18.797996661101834,0.0
0,0.05,373,0.06076866023804316,19.040066777963272,0.0
0,0.05,373,0.06076866023804316,19.28213689482471,0.0
0,0.05,373,0.06076866023804316,19.524207011686144,0.0
0,0.05,373,0.06076866023804316,19.76627712854758,0.0
0,0.05,373,0.06076866023804316,20.008347245409013,0.0
0,0.05,373,0.06076866023804316,20.25041736227045,0.0
0,0.05,373,0.06076866023804316,20.49248747913189,0.0
0,0.05,373,0.06076866023804316,20.734557595993323,0.0
0,0.05,373,0.06076866023804316,20.976627712854757,0.0
0,0.05,373,0.06076866023804316,21.218697829716195,0.0
0,0.05,373,0.06076866023804316,21.46076794657763,0.0
0,0.05,373,0.06076866023804316,21.702838063439064,0.0
0,0.05,373,0.06076866023804316,21.9449081803005,0.0
0,0.05,373,0.06076866023804316,22.186978297161936,0.0
0,0.05,373,0.06076866023804316,22.429048414023374,0.0
0,0.05,373,0.06076866023804316,22.671118530884808,0.0
0,0.05,373,0.06076866023804316,22.913188647746242,0.0
0,0.05,373,0.06076866023804316,23.15525876460768,0.0
0,0.05,373,0.06076866023804316,23.397328881469114,0.0
0,0.05,373,0.06076866023804316,23.639398998330552,0.0
0,0.05,373,0.06076866023804316,23.881469115191987,0.0
0,0.05,373,0.06076866023804316,24.12353923205342,0.0
0,0.05,373,0.06076866023804316,24.36560934891486,0.0
0,0.05,373,0.06076866023804316,24.607679465776293,0.0
0,0.05,373,0.06076866023804316,24.84974958263773,0.0
0,0.05,373,0.06076866023804316,25.091819699499165,0.0
0,0.05,373,0.06076866023804316,25.3338898163606,0.3397843128866632
0,0.05,373,0.06076866023804316,25.575959933222038,0.6273036836686469
0,0.05,373,0.06076866023804316,25.818030050083472,0.8763142673595182
0,0.05,373,0.06076866023804316,26.06010016694491,1.103306608505662
0,0.05,373,0.06076866023804316,26.302170283806344,1.3262161482209907
0,0.05,373,0.06076866023804316,26.54424040066778,1.548928841407394
0,0.05,373,0.06076866023804316,26.786310517529216,1.771879591478411
0,0.05,373,0.06076866023804316,27.02838063439065,1.9948528404676178
0,0.05,373,0.06076866023804316,27.27045075125209,2.217387170275335
0,0.05,373,0.06076866023804316,27.512520868113523,2.438983136481367
0,0.05,373,0.06076866023804316,27.754590984974957,2.6592232436061636
0,0.05,373,0.06076866023804316,27.996661101836395,2.877846469421508
0,0.05,373,0.06076866023804316,28.23873121869783,3.0947783226610848
0,0.05,373,0.06076866023804316,28.480801335559267,3.310094835591863
0,0.05,373,0.06076866023804316,28.7228714524207,3.524081005459836
0,0.05,373,0.06076866023804316,28.964941569282136,3.737262177532191
0,0.05,373,0.06076866023804316,29.207011686143574,3.9504143411185066
0,0.05,373,0.06076866023804316,29.449081803005008,4.164572532531988
0,0.05,373,0.06076866023804316,29.691151919866446,4.381039398949311
0,0.05,373,0.06076866023804316,29.93322203672788,4.60139585367272
0,0.05,373,0.06076866023804316,30.175292153589314,4.827395370534124
0,0.05,373,0.06076866023804316,30.417362270450752,5.059883415728434
0,0.05,373,0.06076866023804316,30.659432387312187,5.29909916274181
0,0.05,373,0.06076866023804316,30.901502504173624,5.545241490946741
0,0.05,373,0.06076866023804316,31.14357262103506,5.79847501154768
0,0.05,373,0.06076866023804316,31.385642737896493,6.058929241526966
0,0.05,373,0.06076866023804316,31.62771285475793,6.326697357468619
0,0.05,373,0.06076866023804316,31.869782971619365,6.601834602155653
0,0.05,373,0.06076866023804316,32.1118530884808,6.884356405094823
0,0.05,373,0.06076866023804316,32.35392320534224,7.1742362702797715
0,0.05,373,0.06076866023804316,32.59599332220367,7.471403479492168
0,0.05,373,0.06076866023804316,32.83806343906511,7.775740656510797
0,0.05,373,0.06076866023804316,33.080133555926544,8.087081236210945
0,0.05,373,0.06076866023804316,33.32220367278798,8.405206882294713
0,0.05,373,0.06076866023804316,33.56427378964942,8.729844897991653
