energy_MeV,sigma_nominal_mb,sigma_lower_16_mb,sigma_upper_84_mb,relative_half_width
5.0,0.0,0.0,0.0,0.0
5.242070116861436,0.0,0.0,0.0,0.0
5.484140233722871,0.0,0.0,0.0,0.0
5.726210350584307,0.0,0.0,0.0,0.0
5.968280467445743,0.0,0.0,0.0,0.0
6.210350584307179,0.0,0.0,0.0,0.0
6.452420701168615,0.0,0.0,0.0,0.0
6.69449081803005,0.0,0.0,0.0,0.0
6.936560934891486,0.0,0.0,0.0,0.0
7.178631051752921,0.0,0.0,0.0,0.0
7.420701168614357,0.0,0.0,0.0,0.0
7.6627712854757934,0.0,0.0,0.0,0.0
7.904841402337229,0.0,0.0,0.0,0.0
8.146911519198664,0.0,0.0,0.0,0.0
8.3889816360601,0.0,0.0,0.0,0.0
8.631051752921536,0.0,0.0,0.0,0.0
8.873121869782972,0.0,0.0,0.0,0.0
9.115191986644408,0.0,0.0,0.0,0.0
9.357262103505843,0.0,0.0,0.0,0.0
9.599332220367279,0.0,0.0,0.0,0.0
9.841402337228715,0.0,0.0,0.0,0.0
10.083472454090149,0.0,0.0,0.0,0.0
10.325542570951587,0.0,0.0,0.0,0.0
10.567612687813021,0.0,0.0,0.0,0.0
10.809682804674457,0.0,0.0,0.0,0.0
11.051752921535893,0.0,0.0,0.0,0.0
11.293823038397328,0.0,0.0,0.0,0.0
11.535893155258766,0.0,0.0,0.0,0.0
11.7779632721202,0.0,0.0,0.0,0.0
12.020033388981636,0.0,0.0,0.0,0.0
12.262103505843072,0.0,0.0,0.0,0.0
12.504173622704506,0.0,0.0,0.0,0.0
12.746243739565944,0.0,0.0,0.0,0.0
12.988313856427379,0.0,0.0,0.0,0.0
13.230383973288815,0.0,0.0,0.0,0.0
13.47245409015025,0.0,0.0,0.0,0.0
13.714524207011687,0.0,0.0,0.0,0.0
13.956594323873121,0.0,0.0,0.0,0.0
14.198664440734557,0.0,0.0,0.0,0.0
14.440734557595993,0.0,0.0,0.0,0.0
14.68280467445743,0.0,0.0,0.0,0.0
14.924874791318866,0.0,0.0,0.0,0.0
15.1669449081803,0.0,0.0,0.0,0.0
15.409015025041736,0.0,0.0,0.0,0.0
15.651085141903172,0.0,0.0,0.0,0.0
15.893155258764608,0.0,0.0,0.0,0.0
16.135225375626042,0.0,0.0,0.0,0.0
16.377295492487477,0.0,0.0,0.0,0.0
16.619365609348915,0.0,0.0,0.0,0.0
16.861435726210352,0.0,0.0,0.0,0.0
17.103505843071787,0.0,0.0,0.0,0.0
17.34557595993322,0.0,0.0,0.0,0.0
17.587646076794655,0.0,0.0,0.0,0.0
17.829716193656093,0.0,0.0,0.0,0.0
18.07178631051753,1.7915007913336973,1.6384439135036017,1.9719116405511223,0.09306937754665122
18.313856427378965,2.87567305926839,2.6533622083072954,3.137473227633563,0.08417351509518123
18.5559265442404,3.732825825779594,3.4621293215130016,4.033493255751106,0.07653235925075284
18.797996661101834,4.484530461683944,4.187812961336764,4.8064213964211415,0.06897137173777716
19.040066777963272,5.1824640545425185,4.878867691517994,5.515721164130956,0.061443115273973725
19.28213689482471,5.825681115913881,5.5142371138484165,6.180445350830232,0.057178570516153875
19.524207011686144,6.453144284982701,6.122123402102515,6.806032871096694,0.052990405823229836
19.76627712854758,7.054920971921339,6.707642459897979,7.393043888204269,0.04857612374640302
20.008347245409013,7.621643625696703,7.289218932983966,7.973232574481881,0.044873105795168226
20.25041736227045,8.191094206223394,7.851255087722659,8.553798231788896,0.04288457234031458
20.49248747913189,8.767432238774397,8.392586260997284,9.139632096664513,0.0426034564808715
20.734557595993323,9.336536956704904,8.933579546408835,9.740839822508091,0.043231247294508585
20.976627712854757,9.922364006738107,9.473553968749979,10.360570995663137,0.044697867681068745
21.218697829716195,10.514307219311023,10.022935011257312,10.99195285424864,0.04608091730530701
21.46076794657763,11.126037365476414,10.600901157044547,11.629584325296927,0.04622864073081118
21.702838063439064,11.763365019390715,11.203876226697934,12.297056841377675,0.04646547194946951
21.9449081803005,12.436113250869958,11.839524683648047,13.001620042649426,0.046722610817334156
22.186978297161936,13.162887349121743,12.540369881912154,13.74442972255526,0.04573691959475152
22.429048414023374,13.930627476395983,13.29916381212047,14.533069124965044,0.04428749943013332
22.671118530884808,14.751310514867868,14.112617974389059,15.369565675309355,0.04260461128702486
22.913188647746242,15.627012091089082,14.987399399562463,16.293975344101014,0.04180504682925259
23.15525876460768,16.552230833096765,15.886535621449708,17.295249737411392,0.042553602900006426
23.397328881469114,17.57215934812112,16.834664357649196,18.373102282844446,0.04377486837893221
23.639398998330552,18.66841471791259,17.837208977772065,19.553307931938075,0.04596263207393264
23.881469115191987,19.833780741961355,18.929147902591,20.79069574893605,0.04692871900128103
24.12353923205342,21.07354294184008,20.121071436675514,22.088574960855087,0.046681840106563885
