bin_left,bin_right,count
0.067641994691179,0.07830545428297674,1
0.07830545428297674,0.08896891387477446,4
0.08896891387477446,0.0996323734665722,6
0.0996323734665722,0.11029583305836993,14
0.11029583305836993,0.12095929265016765,12
0.12095929265016765,0.1316227522419654,22
0.1316227522419654,0.1422862118337631,40
0.1422862118337631,0.15294967142556085,32
0.15294967142556085,0.16361313101735858,51
0.16361313101735858,0.1742765906091563,59
0.1742765906091563,0.18494005020095405,55
0.18494005020095405,0.19560350979275176,61
0.19560350979275176,0.20626696938454953,80
0.20626696938454953,0.21693042897634723,50
0.21693042897634723,0.22759388856814494,71
0.22759388856814494,0.2382573481599427,54
0.2382573481599427,0.2489208077517404,46
0.2489208077517404,0.2595842673435382,52
0.2595842673435382,0.2702477269353359,30
0.2702477269353359,0.2809111865271336,39
0.2809111865271336,0.29157464611893136,40
0.29157464611893136,0.30223810571072907,25
0.30223810571072907,0.31290156530252683,31
0.31290156530252683,0.32356502489432454,21
0.32356502489432454,0.33422848448612225,20
0.33422848448612225,0.34489194407792,11
0.34489194407792,0.3555554036697177,12
0.3555554036697177,0.3662188632615154,9
0.3662188632615154,0.3768823228533132,10
0.3768823228533132,0.3875457824451109,3
0.3875457824451109,0.39820924203690866,9
0.39820924203690866,0.40887270162870637,6
0.40887270162870637,0.4195361612205041,8
0.4195361612205041,0.43019962081230184,5
0.43019962081230184,0.44086308040409955,3
0.44086308040409955,0.4515265399958973,2
0.4515265399958973,0.462189999587695,1
0.462189999587695,0.47285345917949273,0
0.47285345917949273,0.4835169187712905,2
0.4835169187712905,0.4941803783630882,3
