bin_left,bin_right,count
0.008342921094630043,0.09593338796115346,897
0.09593338796115346,0.18352385482767686,72
0.18352385482767686,0.2711143216942003,16
0.2711143216942003,0.3587047885607237,0
0.3587047885607237,0.4462952554272471,0
0.4462952554272471,0.5338857222937706,0
0.5338857222937706,0.621476189160294,0
0.621476189160294,0.7090666560268174,0
0.7090666560268174,0.7966571228933408,0
0.7966571228933408,0.8842475897598642,0
0.8842475897598642,0.9718380566263877,0
0.9718380566263877,1.059428523492911,1
1.059428523492911,1.1470189903594343,7
1.1470189903594343,1.2346094572259578,5
1.2346094572259578,1.322199924092481,0
1.322199924092481,1.4097903909590046,0
1.4097903909590046,1.497380857825528,0
1.497380857825528,1.5849713246920514,0
1.5849713246920514,1.6725617915585749,0
1.6725617915585749,1.7601522584250981,0
1.7601522584250981,1.8477427252916216,0
1.8477427252916216,1.9353331921581451,0
1.9353331921581451,2.0229236590246686,0
2.0229236590246686,2.1105141258911924,0
2.1105141258911924,2.1981045927577156,0
2.1981045927577156,2.285695059624239,0
2.285695059624239,2.373285526490762,0
2.373285526490762,2.460875993357286,0
2.460875993357286,2.548466460223809,0
2.548466460223809,2.6360569270903325,0
2.6360569270903325,2.723647393956856,0
2.723647393956856,2.8112378608233795,0
2.8112378608233795,2.8988283276899027,0
2.8988283276899027,2.9864187945564264,0
2.9864187945564264,3.0740092614229497,0
3.0740092614229497,3.161599728289473,1
3.161599728289473,3.2491901951559967,0
3.2491901951559967,3.33678066202252,0
3.33678066202252,3.4243711288890433,0
3.4243711288890433,3.5119615957555665,1
