bin_left,bin_right,count
0.02328906889353242,0.029693676899701506,7
0.029693676899701506,0.036098284905870595,4
0.036098284905870595,0.04250289291203968,13
0.04250289291203968,0.048907500918208766,21
0.048907500918208766,0.05531210892437785,23
0.05531210892437785,0.061716716930546936,28
0.061716716930546936,0.06812132493671602,45
0.06812132493671602,0.0745259329428851,47
0.0745259329428851,0.08093054094905419,45
0.08093054094905419,0.08733514895522328,52
0.08733514895522328,0.09373975696139236,64
0.09373975696139236,0.10014436496756145,54
0.10014436496756145,0.10654897297373053,62
0.10654897297373053,0.11295358097989962,54
0.11295358097989962,0.1193581889860687,56
0.1193581889860687,0.12576279699223777,49
0.12576279699223777,0.13216740499840687,44
0.13216740499840687,0.13857201300457594,48
0.13857201300457594,0.14497662101074504,49
0.14497662101074504,0.15138122901691412,28
0.15138122901691412,0.15778583702308321,34
0.15778583702308321,0.16419044502925229,21
0.16419044502925229,0.17059505303542136,16
0.17059505303542136,0.17699966104159046,17
0.17699966104159046,0.18340426904775955,24
0.18340426904775955,0.18980887705392863,20
0.18980887705392863,0.1962134850600977,9
0.1962134850600977,0.2026180930662668,10
0.2026180930662668,0.2090227010724359,8
0.2090227010724359,0.21542730907860497,10
0.21542730907860497,0.22183191708477404,6
0.22183191708477404,0.22823652509094314,10
0.22823652509094314,0.23464113309711224,5
0.23464113309711224,0.2410457411032813,4
0.2410457411032813,0.24745034910945038,2
0.24745034910945038,0.2538549571156195,5
0.2538549571156195,0.2602595651217886,2
0.2602595651217886,0.26666417312795765,2
0.26666417312795765,0.27306878113412675,0
0.27306878113412675,0.27947338914029585,2
