energy_MeV,sigma_nominal_mb,sigma_lower_16_mb,sigma_upper_84_mb,relative_half_width
5.0,0.0,0.0,0.0,0.0
5.242070116861436,0.0,0.0,0.0,0.0
5.484140233722871,0.0,0.0,0.0,0.0
5.726210350584307,0.0,0.0,0.0,0.0
5.968280467445743,0.0,0.0,0.0,0.0
6.210350584307179,0.0,0.0,0.0,0.0
6.452420701168615,0.0,0.0,0.0,0.0
6.69449081803005,0.0,0.0,0.0,0.0
6.936560934891486,0.0,0.0,0.0,0.0
7.178631051752921,0.0,0.0,0.0,0.0
7.420701168614357,0.0,0.0,0.0,0.0
7.6627712854757934,0.0,0.0,0.0,0.0
7.904841402337229,0.0,0.0,0.0,0.0
8.146911519198664,0.0,0.0,0.0,0.0
8.3889816360601,0.0,0.0,0.0,0.0
8.631051752921536,0.0,0.0,0.0,0.0
8.873121869782972,0.0,0.0,0.0,0.0
9.115191986644408,0.0,0.0,0.0,0.0
9.357262103505843,0.0,0.0,0.0,0.0
9.599332220367279,0.0,0.0,0.0,0.0
9.841402337228715,0.0,0.0,0.0,0.0
10.083472454090149,0.0,0.0,0.0,0.0
10.325542570951587,0.0,0.0,0.0,0.0
10.567612687813021,0.0,0.0,0.0,0.0
10.809682804674457,0.0,0.0,0.0,0.0
11.051752921535893,0.0,0.0,0.0,0.0
11.293823038397328,0.0,0.0,0.0,0.0
11.535893155258766,0.0,0.0,0.0,0.0
11.7779632721202,0.0,0.0,0.0,0.0
12.020033388981636,0.0,0.0,0.0,0.0
12.262103505843072,0.0,0.0,0.0,0.0
12.504173622704506,0.0,0.0,0.0,0.0
12.746243739565944,0.0,0.0,0.0,0.0
12.988313856427379,0.0,0.0,0.0,0.0
13.230383973288815,0.0,0.0,0.0,0.0
13.47245409015025,0.0,0.0,0.0,0.0
13.714524207011687,0.0,0.0,0.0,0.0
13.956594323873121,0.0,0.0,0.0,0.0
14.198664440734557,0.0,0.0,0.0,0.0
14.440734557595993,0.0,0.0,0.0,0.0
14.68280467445743,0.0,0.0,0.0,0.0
14.924874791318866,0.0,0.0,0.0,0.0
15.1669449081803,0.0,0.0,0.0,0.0
15.409015025041736,0.0,0.0,0.0,0.0
15.651085141903172,0.0,0.0,0.0,0.0
15.893155258764608,0.0,0.0,0.0,0.0
16.135225375626042,0.0,0.0,0.0,0.0
16.377295492487477,0.0,0.0,0.0,0.0
16.619365609348915,0.0,0.0,0.0,0.0
16.861435726210352,0.0,0.0,0.0,0.0
17.103505843071787,0.0,0.0,0.0,0.0
17.34557595993322,0.0,0.0,0.0,0.0
17.587646076794655,0.0,0.0,0.0,0.0
17.829716193656093,0.0,0.0,0.0,0.0
18.07178631051753,0.0,0.0,0.0,0.0
18.313856427378965,0.0,0.0,0.0,0.0
18.5559265442404,0.0,0.0,0.0,0.0
18.797996661101834,0.0,0.0,0.0,0.0
19.040066777963272,0.0,0.0,0.0,0.0
19.28213689482471,0.0,0.0,0.0,0.0
19.524207011686144,0.0,0.0,0.0,0.0
19.76627712854758,0.0,0.0,0.0,0.0
20.008347245409013,0.0,0.0,0.0,0.0
20.25041736227045,0.0,0.0,0.0,0.0
20.49248747913189,0.0,0.0,0.0,0.0
20.734557595993323,0.0,0.0,0.0,0.0
20.976627712854757,0.0,0.0,0.0,0.0
21.218697829716195,0.0,0.0,0.0,0.0
21.46076794657763,0.0,0.0,0.0,0.0
21.702838063439064,0.0,0.0,0.0,0.0
21.9449081803005,0.0,0.0,0.0,0.0
22.186978297161936,0.0,0.0,0.0,0.0
22.429048414023374,0.0,0.0,0.0,0.0
22.671118530884808,0.0,0.0,0.0,0.0
22.913188647746242,0.0,0.0,0.0,0.0
23.15525876460768,0.0,0.0,0.0,0.0
23.397328881469114,0.0,0.0,0.0,0.0
23.639398998330552,0.0,0.0,0.0,0.0
23.881469115191987,0.0,0.0,0.0,0.0
24.12353923205342,0.0,0.0,0.0,0.0
24.36560934891486,0.0,0.0,0.0,0.0
24.607679465776293,0.0,0.0,0.0,0.0
24.84974958263773,0.0,0.0,0.0,0.0
25.091819699499165,0.0,0.0,0.0,0.0
25.3338898163606,0.4636589736056972,0.42013416948618687,0.5131968226118571,0.10035679068384873
25.575959933222038,0.8559437119423551,0.7854310053445812,0.9374347459054158,0.08879307040874171
25.818030050083472,1.1973146808902408,1.1055432521735062,1.3004013874182871,0.08137298337472058
26.06010016694491,1.5095183844842246,1.404496831364759,1.6264781347432822,0.07352719438868252
26.302170283806344,1.816147241306611,1.6971078582717913,1.946507813317289,0.06866182140223089
26.54424040066778,2.1249412210850487,1.9901829546918206,2.2630487360832183,0.06420548923514824
26.786310517529216,2.4316632912120744,2.2847932779382627,2.5815545105514395,0.06102021478172143
27.02838063439065,2.7381907558270893,2.5774445496795257,2.896611325304547,0.058280595489158066
