energy_MeV,sigma_nominal_mb,sigma_lower_16_mb,sigma_upper_84_mb,relative_half_width
5.0,0.0,0.0,0.0,0.0
5.242070116861436,0.0,0.0,0.0,0.0
5.484140233722871,0.0,0.0,0.0,0.0
5.726210350584307,0.0,0.0,0.0,0.0
5.968280467445743,0.0,0.0,0.0,0.0
6.210350584307179,0.0,0.0,0.0,0.0
6.452420701168615,0.0,0.0,0.0,0.0
6.69449081803005,0.0,0.0,0.0,0.0
6.936560934891486,0.0,0.0,0.0,0.0
7.178631051752921,0.0,0.0,0.0,0.0
7.420701168614357,0.0,0.0,0.0,0.0
7.6627712854757934,0.0,0.0,0.0,0.0
7.904841402337229,0.0,0.0,0.0,0.0
8.146911519198664,0.0,0.0,0.0,0.0
8.3889816360601,0.0,0.0,0.0,0.0
8.631051752921536,0.0,0.0,0.0,0.0
8.873121869782972,0.0,0.0,0.0,0.0
9.115191986644408,0.11105101310363683,0.08692895500918717,0.1475895306108206,0.2731203160885295
9.357262103505843,0.22331634735755024,0.17806178463184547,0.29038570643069694,0.251490594235384
9.599332220367279,0.3572567569414455,0.2876665231243188,0.45511836798708394,0.2343578415372149
9.841402337228715,0.5155580247538253,0.41922971860714087,0.6489798234395525,0.22281692244254703
10.083472454090149,0.698530303654195,0.5717865389264979,0.8731557847968773,0.21571665845693302
10.325542570951587,0.9121936438941398,0.7503884055221801,1.1244210619569102,0.20501823211461478
10.567612687813021,1.1559065421284473,0.9583227415065801,1.4111448528523562,0.19587315013892245
10.809682804674457,1.4330477756731586,1.1905207275634568,1.7335568434404605,0.18946895040603876
11.051752921535893,1.7371902758030089,1.4593994290379904,2.0945851944927627,0.18281985983405313
11.293823038397328,2.0772989981565146,1.7572154690304915,2.475959391136437,0.17299963143095676
11.535893155258766,2.4503202371300215,2.087263984832791,2.894281328407434,0.16467589242944744
11.7779632721202,2.8609355497740223,2.444819087886148,3.367687088406767,0.16128779982364752
12.020033388981636,3.31951686532929,2.834658096809059,3.86383835658948,0.1550195859116878
12.262103505843072,3.8087072802008373,3.2778264237582215,4.422145663863157,0.15022409913903834
12.504173622704506,4.346830663032844,3.762323384905644,5.023748646826423,0.14509712474521205
12.746243739565944,4.942887595828847,4.2792970673052455,5.702508720762574,0.14396560976405104
12.988313856427379,5.596411998838038,4.845242532365821,6.443787055463353,0.1428186955704327
13.230383973288815,6.295928191947571,5.440661883200587,7.275233279078472,0.14569506988852604
13.47245409015025,7.070039391602062,6.110679538430411,8.173706405956105,0.14589924845229293
13.714524207011687,7.907219914011765,6.842451895022317,9.135814289152195,0.14501698568329877
13.956594323873121,8.822107429079031,7.626126910220588,10.171114524151252,0.14423921009746438
14.198664440734557,9.81290576163291,8.48198645261432,11.289683930753622,0.14306147161409652
14.440734557595993,10.87281070214308,9.399509999717035,12.513121803786227,0.14318339063217045
14.68280467445743,12.01602810326949,10.405695159374956,13.790167881632225,0.14083159148639038
14.924874791318866,13.235125415293673,11.468659209234943,15.138216033798233,0.13862946928795186
15.1669449081803,14.497499665052008,12.610913107831307,16.54818954348564,0.13579156842974863
15.409015025041736,15.826998535853834,13.759248405645174,18.107856005464495,0.13737941499040907
15.651085141903172,17.222826122739278,14.927563156704904,19.663305755462783,0.13748448033465552
15.893155258764608,18.60173183664813,16.135688915199097,21.267863983456508,0.13794885103510296
16.135225375626042,20.004097645832303,17.350179667495482,22.860276920349463,0.13772421406876023
16.377295492487477,21.386917349547137,18.607643996145047,24.45145197409684,0.13662109135320372
16.619365609348915,22.746714592274763,19.834761618967967,26.030698924931325,0.13619411455726493
16.861435726210352,24.077001311955335,20.978277801417928,27.571398184705235,0.13691739053927618
17.103505843071787,25.350905402546125,22.080728983635332,28.978907546633764,0.13605388946592833
17.34557595993322,26.565027089448147,23.146605442726184,30.445934891337053,0.1373860719967085
17.587646076794655,27.68986207069727,24.241478115828357,31.845545144792545,0.1373077809046072
17.829716193656093,28.860794571011464,25.280962512109465,33.11172035298184,0.13566428016395976
18.07178631051753,29.97666339118577,26.226803321418743,34.26682326982173,0.1341046507325269
18.313856427378965,30.99198343991891,27.109001702237503,35.45312238482189,0.13461740354179502
18.5559265442404,31.92554753976217,27.921044600807782,36.51159887770396,0.13454043765728588
18.797996661101834,32.77602633626431,28.661972305279694,37.52843904367666,0.13525841490716134
19.040066777963272,33.596165835311886,29.37134547975596,38.42379069501917,0.1347243798539128
19.28213689482471,34.30156926633644,29.943789016762747,39.19284462100936,0.13481971527937692
19.524207011686144,34.94130224400071,30.467543686106165,39.871910971088006,0.1345737949219757
19.76627712854758,35.44870268548493,30.902438458667817,40.517262648591995,0.13561602345832996
20.008347245409013,35.873216111475315,31.243994615874506,41.054429707315876,0.13673760196124646
20.25041736227045,36.251927880366694,31.566725200959116,41.46283323582163,0.1364907828836055
