energy_MeV,sigma_sensitivity_mb
5.0,0.0
5.242070116861436,0.0
5.484140233722871,0.0
5.726210350584307,0.0
5.968280467445743,0.0
6.210350584307179,0.0
6.452420701168615,0.0
6.69449081803005,0.0
6.936560934891486,0.0
7.178631051752921,0.0
7.420701168614357,0.0
7.6627712854757934,0.0
7.904841402337229,0.0
8.146911519198664,0.0
8.3889816360601,0.0
8.631051752921536,0.0
8.873121869782972,0.0
9.115191986644408,0.0
9.357262103505843,0.0
9.599332220367279,0.0
9.841402337228715,0.0
10.083472454090149,0.0
10.325542570951587,0.0
10.567612687813021,0.0
10.809682804674457,0.0
11.051752921535893,0.0
11.293823038397328,0.0
11.535893155258766,0.0
11.7779632721202,0.0
12.020033388981636,0.0
12.262103505843072,0.0
12.504173622704506,0.0
12.746243739565944,0.0
12.988313856427379,0.0
13.230383973288815,0.0
13.47245409015025,0.0
13.714524207011687,0.0
13.956594323873121,0.0
14.198664440734557,0.0
14.440734557595993,0.0
14.68280467445743,0.0
14.924874791318866,0.0
15.1669449081803,0.0
15.409015025041736,0.0
15.651085141903172,0.0
15.893155258764608,0.0
16.135225375626042,0.0
16.377295492487477,0.0
16.619365609348915,0.0
16.861435726210352,0.0
17.103505843071787,0.0
17.34557595993322,0.0
17.587646076794655,0.0
17.829716193656093,0.0
18.07178631051753,9.357622968840175e-14
18.313856427378965,4.2260813348706823e-11
18.5559265442404,1.0521909362490586e-08
18.797996661101834,1.2290856641723425e-06
19.040066777963272,7.215314783913954e-05
19.28213689482471,0.002233171832525555
19.524207011686144,0.0379558328056721
19.76627712854758,0.3678370709004272
20.008347245409013,2.1071244761890426
20.25041736227045,7.438387664432097
20.49248747913189,17.26476329711053
20.734557595993323,28.251416111141605
20.976627712854757,34.93977960241629
21.218697829716195,35.00515420392668
21.46076794657763,30.44782610935587
21.702838063439064,24.639737038237605
21.9449081803005,19.87861332648313
22.186978297161936,17.025151026235825
22.429048414023374,15.672140807769068
22.671118530884808,15.32029276218649
22.913188647746242,15.710720411205632
23.15525876460768,16.6953539724674
23.397328881469114,18.160956584483973
23.639398998330552,19.975263687693786
23.881469115191987,21.94417499463761
24.12353923205342,23.791855377933818
24.36560934891486,25.347909412596742
24.607679465776293,26.620028809808208
24.84974958263773,27.650708219886702
25.091819699499165,28.50440404148325
25.3338898163606,29.261751498777148
25.575959933222038,30.015412536998777
25.818030050083472,30.86849758142641
26.06010016694491,31.93584901671795
26.302170283806344,33.29703542547344
26.54424040066778,34.9397200920945
26.786310517529216,36.837139659810425
27.02838063439065,38.9556160455207
27.27045075125209,41.251172905887124
27.512520868113523,43.66648970888793
27.754590984974957,46.12847950905172
27.996661101836395,48.546897066486835
28.23873121869783,50.832596561729595
28.480801335559267,52.963155409159874
28.7228714524207,54.93969631449886
28.964941569282136,56.768739761864204
29.207011686143574,58.46181179225923
29.449081803005008,60.034988288441475
29.691151919866446,61.508421588167174
29.93322203672788,62.90589200617315
30.175292153589314,64.25244369862212
30.417362270450752,65.55673410811777
30.659432387312187,66.81772222716789
30.901502504173624,68.03449412913803
31.14357262103506,69.20636835293931
31.385642737896493,70.33289283941134
31.62771285475793,71.4138406334942
31.869782971619365,72.4492044699605
