profile_label,nominal_yield_run,nominal_yield_per_proton,nominal_yield_per_Gy,yield_q16_run,yield_q50_run,yield_q84_run,yield_half_width_run,yield_q16_per_proton,yield_q50_per_proton,yield_q84_per_proton,yield_half_width_per_proton,yield_q16_per_Gy,yield_q50_per_Gy,yield_q84_per_Gy,yield_half_width_per_Gy,R50_nominal_mm,R50_shift_q16_mm,R50_shift_q50_mm,R50_shift_q84_mm,R50_shift_half_width_mm
C11,959.6489493760937,0.0009596489493760937,95964.89493760937,934.5098513898612,958.328105344885,985.4190023525045,25.454575481321683,0.0009345098513898612,0.000958328105344885,0.0009854190023525044,2.545457548132168e-05,93450.98513898611,95832.8105344885,98541.90023525045,2545.457548132168,102.68754129669352,-0.06607205498007546,0.015183459816526579,0.09082455783783701,0.07844830640895623
O15,1733.7754700924029,0.0017337754700924028,173377.54700924028,1685.8570163374757,1733.3452290124383,1781.7348488404998,47.93891625151207,0.0016858570163374757,0.0017333452290124382,0.0017817348488404997,4.793891625151207e-05,168585.70163374755,173334.52290124382,178173.48488404998,4793.891625151206,107.30673802355852,-0.038961036325345616,0.003041346227078634,0.04644377802801159,0.0427024071766786
N13,197.8272528964003,0.0001978272528964003,19782.725289640028,191.2559278655819,197.93345312156202,204.3433274942499,6.543699814334005,0.0001912559278655819,0.00019793345312156202,0.0002043433274942499,6.543699814334005e-06,19125.59278655819,19793.3453121562,20434.33274942499,654.3699814334004,112.0,0.0,0.0,0.0,0.0
all_production,2891.251672364897,0.002891251672364897,289125.1672364897,2838.889628278628,2891.132233522012,2945.218600990322,53.164486355846975,0.002838889628278628,0.002891132233522012,0.002945218600990322,5.3164486355846975e-05,283888.9628278628,289113.2233522012,294521.86009903223,5316.4486355846975,106.28532937257023,-0.0550388613042287,0.017208211936278417,0.08443580333215266,0.06973733231819068
all_d120s300,795.0394602566864,0.0007950394602566864,79503.94602566864,777.1406301334247,795.1506792582267,812.1308043250591,17.49508709581721,0.0007771406301334247,0.0007951506792582267,0.0008121308043250591,1.7495087095817213e-05,77714.06301334247,79515.06792582266,81213.08043250591,1749.5087095817212,107.0111098461455,-0.040458956017128005,0.017784688995583053,0.08550231417291627,0.06298063509502214
