profile_label,quantity,depth_low_mm,depth_high_mm,depth_mm,nominal_run,nominal_per_proton,nominal_per_Gy,q16_run,q16_per_proton,q16_per_Gy,q50_run,q50_per_proton,q50_per_Gy,q84_run,q84_per_proton,q84_per_Gy
C11,production_nuclei,0.0,2.0,1.0,15.874322962121129,1.5874322962121128e-05,1587.4322962121128,15.423075853886369,1.542307585388637e-05,1542.3075853886369,15.856305635490541,1.585630563549054e-05,1585.6305635490542,16.332940103798084,1.6332940103798084e-05,1633.2940103798082
C11,production_nuclei,2.0,4.0,3.0,15.907797329095214,1.5907797329095213e-05,1590.7797329095213,15.458910787638402,1.5458910787638403e-05,1545.8910787638401,15.887452447038674,1.5887452447038675e-05,1588.7452447038675,16.37062450046169,1.637062450046169e-05,1637.062450046169
C11,production_nuclei,4.0,6.0,5.0,15.943495525558873,1.5943495525558872e-05,1594.3495525558874,15.501062861334843,1.5501062861334844e-05,1550.1062861334842,15.924941695803952,1.5924941695803952e-05,1592.4941695803952,16.406941562763787,1.6406941562763787e-05,1640.6941562763786
C11,production_nuclei,6.0,8.0,7.0,15.98118894820087,1.598118894820087e-05,1598.118894820087,15.53299884617206,1.553299884617206e-05,1553.2998846172059,15.96421390957522,1.5964213909575218e-05,1596.421390957522,16.442466015495004,1.6442466015495005e-05,1644.2466015495004
C11,production_nuclei,8.0,10.0,9.0,16.020872648800186,1.6020872648800184e-05,1602.0872648800184,15.575075172540334,1.5575075172540334e-05,1557.5075172540335,16.006533829478563,1.6006533829478562e-05,1600.6533829478562,16.483247604424673,1.6483247604424673e-05,1648.3247604424673
C11,production_nuclei,10.0,12.0,11.0,16.062661899333836,1.6062661899333835e-05,1606.2661899333837,15.625805065051235,1.5625805065051235e-05,1562.5805065051236,16.050854019411368,1.605085401941137e-05,1605.0854019411368,16.52255349223842,1.652255349223842e-05,1652.255349223842
C11,production_nuclei,12.0,14.0,13.0,16.10675105012007,1.610675105012007e-05,1610.675105012007,15.665861560396438,1.5665861560396437e-05,1566.5861560396438,16.09584414710091,1.6095844147100908e-05,1609.5844147100909,16.570806261580312,1.6570806261580312e-05,1657.0806261580312
C11,production_nuclei,14.0,16.0,15.0,16.153464977852895,1.6153464977852895e-05,1615.3464977852896,15.70380749221818,1.570380749221818e-05,1570.380749221818,16.145402795402134,1.6145402795402134e-05,1614.5402795402133,16.62381886063938,1.6623818860639377e-05,1662.3818860639378
C11,production_nuclei,16.0,18.0,17.0,16.2034045020037,1.62034045020037e-05,1620.34045020037,15.751404283306957,1.5751404283306958e-05,1575.1404283306956,16.200885394919805,1.6200885394919806e-05,1620.0885394919806,16.679906510529968,1.667990651052997e-05,1667.9906510529968
C11,production_nuclei,18.0,20.0,19.0,16.25764130210271,1.6257641302102707e-05,1625.7641302102709,15.809396203013916,1.5809396203013916e-05,1580.9396203013916,16.25810388520371,1.625810388520371e-05,1625.810388520371,16.740763810096055,1.6740763810096056e-05,1674.0763810096055
