profile_label,expected_count_run,R50_prod_mm,yield_half_width_run,R50_shift_q16_mm,R50_shift_q50_mm,R50_shift_q84_mm,R50_shift_half_width_mm,yield_relative_half_width
C11,813.5445751687491,103.0817574088816,66.30192125156486,-0.2163959249839427,-0.010582130050551,0.1870600744217347,0.2017279997028387,0.08149758879261436
O15,1763.8608354317385,107.29811743817277,143.67898013377203,-0.0347177924478126,0.0070224061426316,0.0512761917626749,0.0429969921052438,0.08145709528076452
N13,327.0287276965764,112.0,43.265973142264215,0.0,0.0,0.0,0.0,0.13230022159523314
all_production,2904.434138297064,106.58608399942024,161.88873581424832,-0.1469159668468682,0.0274908471916148,0.1815850689797087,0.1642505179132885,0.05573847713729443
all_inroom,1331.440060365258,106.68493183527008,72.98306577276696,-0.1616986184399707,0.0345240989973731,0.2182438893702902,0.1899712539051304,0.05481513433863879
