candidate_width_MeV,profile_label,max_paired_yield_change_run,yield_replica_half_width_run,yield_tolerance_run,yield_half_width_change_run,max_paired_R50_change_mm,R50_replica_half_width_mm,R50_tolerance_mm,R50_half_width_change_mm,yield_pass,R50_pass,yield_band_pass,R50_band_pass,pass
0.5,C11,2.2737367544323206e-13,25.454575481321683,2.5454575481321684,0.0,1.4210854715202004e-14,0.07844830640895623,0.007844830640895624,5.9674487573602164e-15,True,True,True,True,True
0.5,O15,2.2737367544323206e-13,47.93891625151207,4.793891625151207,0.0,1.4210854715202004e-14,0.0427024071766786,0.00427024071766786,0.0,True,True,True,True,True
0.5,N13,5.684341886080802e-14,6.543699814334005,0.6543699814334005,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True
0.5,all_production,9.094947017729282e-13,53.164486355846975,5.316448635584698,0.0,1.4210854715202004e-14,0.06973733231819068,0.0069737332318190685,0.0,True,True,True,True,True
0.5,all_d120s300,2.2737367544323206e-13,17.49508709581721,1.7495087095817212,0.0,1.4210854715202004e-14,0.06298063509502214,0.006298063509502214,0.0,True,True,True,True,True
1.0,C11,0.011643316043887353,25.454575481321683,2.5454575481321684,1.1368683772161603e-13,0.0004360536974417073,0.07844830640895623,0.007844830640895624,0.0,True,True,True,True,True
1.0,O15,0.02484136941984616,47.93891625151207,4.793891625151207,5.215642181610747e-05,0.00020797687565732303,0.0427024071766786,0.00427024071766786,7.96880775226494e-06,True,True,True,True,True
1.0,N13,0.0057199490701407285,6.543699814334005,0.6543699814334005,9.349415392989613e-07,0.0,0.0,0.0,0.0,True,True,True,True,True
1.0,all_production,0.03891612489860563,53.164486355846975,5.316448635584698,4.5094864844941185e-05,0.0003019233375312069,0.06973733231819068,0.0069737332318190685,8.732570429964559e-07,True,True,True,True,True
1.0,all_d120s300,0.010647295830040093,17.49508709581721,1.7495087095817212,5.395192505375235e-05,0.0005366567795874744,0.06298063509502214,0.006298063509502214,1.816498754095286e-05,True,True,True,True,True
2.0,C11,0.3301468580018536,25.454575481321683,2.5454575481321684,0.022853499813550116,0.004357094252171123,0.07844830640895623,0.007844830640895624,0.0008393119871985266,True,True,True,True,True
2.0,O15,0.20425714704970233,47.93891625151207,4.793891625151207,0.0015572754347203954,0.004412466147670102,0.0427024071766786,0.00427024071766786,7.958242421892553e-05,True,False,True,True,False
2.0,N13,0.3648922586290553,6.543699814334005,0.6543699814334005,0.013274880006449052,0.0,0.0,0.0,0.0,True,True,True,True,True
2.0,all_production,0.53623584277193,53.164486355846975,5.316448635584698,0.027670897283314844,0.00508373924309069,0.06973733231819068,0.0069737332318190685,0.0008271665916319698,True,True,True,True,True
2.0,all_d120s300,0.13106006332122888,17.49508709581721,1.7495087095817212,0.007970603296826084,0.012530592399684792,0.06298063509502214,0.006298063509502214,0.00017334245051046915,True,False,True,True,False
5.0,C11,0.36424979808214175,25.454575481321683,2.5454575481321684,0.004231625690465535,0.011138661196142152,0.07844830640895623,0.007844830640895624,0.000296294472109368,True,False,True,True,False
5.0,O15,0.5470957822535638,47.93891625151207,4.793891625151207,0.02117061113995078,0.011654236313731303,0.0427024071766786,0.00427024071766786,0.00018755452165750142,True,False,True,True,False
5.0,N13,1.6197854692300666,6.543699814334005,0.6543699814334005,0.040680922821806575,0.0,0.0,0.0,0.0,False,True,True,True,False
5.0,all_production,2.347878570994453,53.164486355846975,5.316448635584698,0.020498590726674593,0.023007558955754348,0.06973733231819068,0.0069737332318190685,0.0013757360413654829,True,False,True,True,False
5.0,all_d120s300,0.6179213078767134,17.49508709581721,1.7495087095817212,0.014045732765566754,0.01315328436925256,0.06298063509502214,0.006298063509502214,0.0017275232202968033,True,False,True,True,False
